query	runtime_s	answers	engine	optimization_time_s	bc_cost_p_star	triple_pattern_count	robustness_threshold	cost_threshold	idp_k	idp_top_t	idp_adaptive_k	phi_shj	phi_nlj	delta	requests	execution_time_s	benchmark	subset
C11	44.7556250095	20	CROP	0.156643152237	3354.1620000000003	8	0.0	0.0	3	5	False	0.001	0.001	1.0	2584	44.598981857263	WatDiv	General
C11	44.9503390789	20	CROP	0.114361047745	3354.1620000000003	8	0.0	0.0	3	5	False	0.001	0.001	1.0	2584	44.835978031155	WatDiv	General
C11	46.1203980446	20	CROP	0.10603094101	3354.1620000000003	8	0.0	0.0	3	5	False	0.001	0.001	1.0	2584	46.014367103590004	WatDiv	General
C21	132.071604967	2	CROP	0.225069046021	2742.61263492	10	0.0	0.0	3	5	False	0.001	0.001	1.0	13320	131.84653592097902	WatDiv	General
C21	130.591947079	2	CROP	0.24737596511799997	2742.61263492	10	0.0	0.0	3	5	False	0.001	0.001	1.0	13320	130.34457111388198	WatDiv	General
C21	130.698107004	2	CROP	0.185307979584	2742.61263492	10	0.0	0.0	3	5	False	0.001	0.001	1.0	13320	130.512799024416	WatDiv	General
C31	65.62815308569999	417029	CROP	0.096764087677	16051.461000000001	6	0.0	0.0	3	5	False	0.001	0.001	1.0	5807	65.53138899802299	WatDiv	General
C31	65.7043149471	417029	CROP	0.09922695159910001	16051.461000000001	6	0.0	0.0	3	5	False	0.001	0.001	1.0	5807	65.6050879955009	WatDiv	General
C31	65.6270270348	417029	CROP	0.16816592216499998	16051.461000000001	6	0.0	0.0	3	5	False	0.001	0.001	1.0	5807	65.45886111263499	WatDiv	General
F11	1.00500202179	0	CROP	0.123032093048	450.473	6	0.0	0.0	3	5	False	0.001	0.001	1.0	163	0.881969928742	WatDiv	General
F11	1.0306899547600001	0	CROP	0.140722036362	450.473	6	0.0	0.0	3	5	False	0.001	0.001	1.0	163	0.8899679183980002	WatDiv	General
F11	1.00046992302	0	CROP	0.127861976624	450.473	6	0.0	0.0	3	5	False	0.001	0.001	1.0	163	0.872607946396	WatDiv	General
F12	0.9891498088840001	9	CROP	0.111603021622	461.002333333	6	0.0	0.0	3	5	False	0.001	0.001	1.0	165	0.8775467872620001	WatDiv	General
F12	0.968590974808	9	CROP	0.100928068161	461.002333333	6	0.0	0.0	3	5	False	0.001	0.001	1.0	165	0.8676629066470001	WatDiv	General
F12	0.953210830688	9	CROP	0.08557510375980001	461.002333333	6	0.0	0.0	3	5	False	0.001	0.001	1.0	165	0.8676357269282	WatDiv	General
F13	1.00739717484	5	CROP	0.10936594009400001	460.43233333300003	6	0.0	0.0	3	5	False	0.001	0.001	1.0	163	0.8980312347459999	WatDiv	General
F13	0.943758010864	5	CROP	0.0784959793091	460.43233333300003	6	0.0	0.0	3	5	False	0.001	0.001	1.0	163	0.8652620315549	WatDiv	General
F13	0.967418909073	5	CROP	0.10865402221699999	460.43233333300003	6	0.0	0.0	3	5	False	0.001	0.001	1.0	163	0.858764886856	WatDiv	General
F14	1.00327396393	4	CROP	0.12255287170399999	460.55233333300004	6	0.0	0.0	3	5	False	0.001	0.001	1.0	163	0.8807210922259999	WatDiv	General
F14	0.953592777252	4	CROP	0.121481895447	460.55233333300004	6	0.0	0.0	3	5	False	0.001	0.001	1.0	163	0.832110881805	WatDiv	General
F14	0.968992948532	4	CROP	0.119155168533	460.55233333300004	6	0.0	0.0	3	5	False	0.001	0.001	1.0	163	0.849837779999	WatDiv	General
F15	0.9364020824429999	9	CROP	0.0738198757172	461.002333333	6	0.0	0.0	3	5	False	0.001	0.001	1.0	165	0.8625822067258	WatDiv	General
F15	0.929198026657	9	CROP	0.0800020694733	461.002333333	6	0.0	0.0	3	5	False	0.001	0.001	1.0	165	0.8491959571837	WatDiv	General
F15	0.95517206192	9	CROP	0.0861549377441	461.002333333	6	0.0	0.0	3	5	False	0.001	0.001	1.0	165	0.8690171241759	WatDiv	General
F21	0.6099770069120001	0	CROP	0.22334599494899998	1855.34071429	8	0.0	0.0	3	5	False	0.001	0.001	1.0	38	0.3866310119630001	WatDiv	General
F21	0.558310985565	0	CROP	0.202642202377	1855.34071429	8	0.0	0.0	3	5	False	0.001	0.001	1.0	38	0.355668783188	WatDiv	General
F21	0.558069944382	0	CROP	0.22921586036699998	1855.34071429	8	0.0	0.0	3	5	False	0.001	0.001	1.0	38	0.328854084015	WatDiv	General
F22	0.5798239707949999	0	CROP	0.21027207374600002	1860.33904762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	43	0.36955189704899993	WatDiv	General
F22	0.610335111618	0	CROP	0.21433305740400002	1860.33904762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	43	0.39600205421400003	WatDiv	General
F22	0.566801071167	0	CROP	0.209403038025	1860.33904762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	43	0.35739803314199997	WatDiv	General
F23	2.10967183113	6	CROP	0.211313962936	2117.44804762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	419	1.898357868194	WatDiv	General
F23	2.13139009476	6	CROP	0.228537082672	2117.44804762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	419	1.9028530120879998	WatDiv	General
F23	2.1211900711099996	6	CROP	0.203863859177	2117.44804762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	419	1.9173262119329997	WatDiv	General
F24	1.6206729412099998	8	CROP	0.222342967987	1979.09004762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	278	1.398329973223	WatDiv	General
F24	1.62071704865	8	CROP	0.205254077911	1979.09004762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	278	1.415462970739	WatDiv	General
F24	1.5816102027899999	8	CROP	0.20055603980999998	1979.09004762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	278	1.38105416298	WatDiv	General
F25	2.14147877693	6	CROP	0.21402096748399999	2117.44804762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	419	1.9274578094460002	WatDiv	General
F25	2.06602096558	6	CROP	0.202265977859	2117.44804762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	419	1.863754987721	WatDiv	General
F25	2.19335198402	6	CROP	0.29000306129500003	2117.44804762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	419	1.903348922725	WatDiv	General
F31	0.9969341754909999	26	CROP	0.0786800384521	1035.16966667	6	0.0	0.0	3	5	False	0.001	0.001	1.0	144	0.9182541370388999	WatDiv	General
F31	1.01340317726	26	CROP	0.0978200435638	1035.16966667	6	0.0	0.0	3	5	False	0.001	0.001	1.0	144	0.9155831336962	WatDiv	General
F31	0.9377381801610001	26	CROP	0.0774590969086	1035.16966667	6	0.0	0.0	3	5	False	0.001	0.001	1.0	144	0.8602790832524001	WatDiv	General
