query	runtime_s	answers	engine	optimization_time_s	bc_cost_p_star	triple_pattern_count	robustness_threshold	cost_threshold	idp_k	idp_top_t	idp_adaptive_k	phi_shj	phi_nlj	delta	requests	execution_time_s	benchmark	subset
C11	13.032068967799999	20	CROP	0.0657041072845	1250.701	8	0.0	0.0	2	5	False	0.001	0.001	4.0	2359	12.9663648605155	WatDiv	General
C11	13.0475378036	20	CROP	0.06872797012330001	1250.701	8	0.0	0.0	2	5	False	0.001	0.001	4.0	2359	12.9788098334767	WatDiv	General
C11	13.037151098299999	20	CROP	0.0627210140228	1250.701	8	0.0	0.0	2	5	False	0.001	0.001	4.0	2359	12.974430084277198	WatDiv	General
C21	90.991560936	2	CROP	0.144703865051	1359.2697380999998	10	0.0	0.0	2	5	False	0.001	0.001	4.0	14123	90.846857070949	WatDiv	General
C21	90.3898348808	2	CROP	0.135740041733	1359.2697380999998	10	0.0	0.0	2	5	False	0.001	0.001	4.0	14123	90.254094839067	WatDiv	General
C21	90.92289900780001	2	CROP	0.148984909058	1359.2697380999998	10	0.0	0.0	2	5	False	0.001	0.001	4.0	14123	90.77391409874201	WatDiv	General
C31	66.1223020554	417029	CROP	0.059294939041099996	10529.927	6	0.0	0.0	2	5	False	0.001	0.001	4.0	5807	66.0630071163589	WatDiv	General
C31	70.8540599346	417029	CROP	0.0882570743561	10529.927	6	0.0	0.0	2	5	False	0.001	0.001	4.0	5807	70.76580286024391	WatDiv	General
C31	68.3207252026	417029	CROP	0.0641620159149	10529.927	6	0.0	0.0	2	5	False	0.001	0.001	4.0	5807	68.2565631866851	WatDiv	General
F11	0.9346249103550001	0	CROP	0.0794990062714	378.7715	6	0.0	0.0	2	5	False	0.001	0.001	4.0	149	0.8551259040836001	WatDiv	General
F11	0.857783794403	0	CROP	0.0480871200562	378.7715	6	0.0	0.0	2	5	False	0.001	0.001	4.0	149	0.8096966743468	WatDiv	General
F11	0.9319620132449999	0	CROP	0.07477688789369999	378.7715	6	0.0	0.0	2	5	False	0.001	0.001	4.0	149	0.8571851253513	WatDiv	General
F12	1.6166639328	9	CROP	0.047419071197499996	308.762333333	6	0.0	0.0	2	5	False	0.001	0.001	4.0	249	1.5692448616025	WatDiv	General
F12	1.6402220725999999	9	CROP	0.0533421039581	308.762333333	6	0.0	0.0	2	5	False	0.001	0.001	4.0	249	1.5868799686419	WatDiv	General
F12	1.6210439205200002	9	CROP	0.0447499752045	308.762333333	6	0.0	0.0	2	5	False	0.001	0.001	4.0	249	1.5762939453155003	WatDiv	General
F13	1.63417387009	5	CROP	0.0590360164642	308.19233333299997	6	0.0	0.0	2	5	False	0.001	0.001	4.0	247	1.5751378536257998	WatDiv	General
F13	1.59427213669	5	CROP	0.043638944625900004	308.19233333299997	6	0.0	0.0	2	5	False	0.001	0.001	4.0	247	1.5506331920640999	WatDiv	General
F13	1.6154491901399999	5	CROP	0.0764529705048	308.19233333299997	6	0.0	0.0	2	5	False	0.001	0.001	4.0	247	1.5389962196351998	WatDiv	General
F14	1.62284493446	4	CROP	0.0522611141205	308.31233333299997	6	0.0	0.0	2	5	False	0.001	0.001	4.0	247	1.5705838203395	WatDiv	General
F14	1.6349170208000001	4	CROP	0.05333685874940001	308.31233333299997	6	0.0	0.0	2	5	False	0.001	0.001	4.0	247	1.5815801620506	WatDiv	General
F14	1.63829493523	4	CROP	0.07863306999210001	308.31233333299997	6	0.0	0.0	2	5	False	0.001	0.001	4.0	247	1.5596618652379	WatDiv	General
F15	1.60668587685	9	CROP	0.051624059677099994	308.762333333	6	0.0	0.0	2	5	False	0.001	0.001	4.0	249	1.5550618171729	WatDiv	General
F15	1.6128540039100001	9	CROP	0.0475089550018	308.762333333	6	0.0	0.0	2	5	False	0.001	0.001	4.0	249	1.5653450489082001	WatDiv	General
F15	1.5769600868200002	9	CROP	0.04672384262080001	308.762333333	6	0.0	0.0	2	5	False	0.001	0.001	4.0	249	1.5302362441992001	WatDiv	General
F21	0.9640169143680001	0	CROP	0.0895400047302	629.0914285709999	8	0.0	0.0	2	5	False	0.001	0.001	4.0	63	0.8744769096378001	WatDiv	General
F21	1.01533198357	0	CROP	0.0960600376129	629.0914285709999	8	0.0	0.0	2	5	False	0.001	0.001	4.0	63	0.9192719459571002	WatDiv	General
F21	1.06822514534	0	CROP	0.0936100482941	629.0914285709999	8	0.0	0.0	2	5	False	0.001	0.001	4.0	63	0.9746150970459	WatDiv	General
F22	1.0667080879200002	0	CROP	0.0856170654297	632.102261905	8	0.0	0.0	2	5	False	0.001	0.001	4.0	75	0.9810910224903001	WatDiv	General
F22	0.943647861481	0	CROP	0.123281002045	632.102261905	8	0.0	0.0	2	5	False	0.001	0.001	4.0	75	0.820366859436	WatDiv	General
F22	1.13619208336	0	CROP	0.0938470363617	632.102261905	8	0.0	0.0	2	5	False	0.001	0.001	4.0	75	1.0423450469983	WatDiv	General
F23	0.923070192337	6	CROP	0.08203101158139998	554.1035	8	0.0	0.0	2	5	False	0.001	0.001	4.0	235	0.8410391807556	WatDiv	General
F23	0.8686769008640001	6	CROP	0.0821759700775	554.1035	8	0.0	0.0	2	5	False	0.001	0.001	4.0	235	0.7865009307865001	WatDiv	General
F23	0.9668040275570001	6	CROP	0.08345222473139999	554.1035	8	0.0	0.0	2	5	False	0.001	0.001	4.0	235	0.8833518028256001	WatDiv	General
F24	0.873522043228	8	CROP	0.0861570835114	419.4185	8	0.0	0.0	2	5	False	0.001	0.001	4.0	202	0.7873649597165999	WatDiv	General
F24	0.9810919761660001	8	CROP	0.141788959503	419.4185	8	0.0	0.0	2	5	False	0.001	0.001	4.0	202	0.8393030166630001	WatDiv	General
F24	0.8511111736300001	8	CROP	0.0838749408722	419.4185	8	0.0	0.0	2	5	False	0.001	0.001	4.0	202	0.7672362327578001	WatDiv	General
F25	0.877040147781	6	CROP	0.100838899612	554.1035	8	0.0	0.0	2	5	False	0.001	0.001	4.0	235	0.776201248169	WatDiv	General
F25	0.8866910934450001	6	CROP	0.0821771621704	554.1035	8	0.0	0.0	2	5	False	0.001	0.001	4.0	235	0.8045139312746001	WatDiv	General
F25	0.889689922333	6	CROP	0.0911319255829	554.1035	8	0.0	0.0	2	5	False	0.001	0.001	4.0	235	0.7985579967501001	WatDiv	General
F31	1.54188418388	26	CROP	0.047168970108	535.075666667	6	0.0	0.0	2	5	False	0.001	0.001	4.0	169	1.494715213772	WatDiv	General
F31	1.66578698158	26	CROP	0.08754205703739999	535.075666667	6	0.0	0.0	2	5	False	0.001	0.001	4.0	169	1.5782449245426	WatDiv	General
