query	answers	benchmark	subset	runtime_s	querytype	engine
Q10	9040.0	nLDE	General	107.779	Q1	Comunica
Q1	2.0	nLDE	General	1.771	Q	Comunica
Q2	8.0	nLDE	General	2.195	Q	Comunica
Q3	18.0	nLDE	General	2.255	Q	Comunica
Q4	54.0	nLDE	General	4.54	Q	Comunica
Q5	1091.0	nLDE	General	44.646	Q	Comunica
Q6	188.0	nLDE	General	28.259	Q	Comunica
Q7	251.0	nLDE	General	34.25	Q	Comunica
Q8	17807.0	nLDE	General	72.765	Q	Comunica
Q9	5223.0	nLDE	General	54.801	Q	Comunica
Q10	9040.0	nLDE	General	107.625	Q1	Comunica
Q1	2.0	nLDE	General	1.853	Q	Comunica
Q2	8.0	nLDE	General	2.218	Q	Comunica
Q3	18.0	nLDE	General	2.34	Q	Comunica
Q4	54.0	nLDE	General	4.463	Q	Comunica
Q5	1091.0	nLDE	General	42.543	Q	Comunica
Q6	188.0	nLDE	General	27.871	Q	Comunica
Q7	251.0	nLDE	General	34.643	Q	Comunica
Q8	17807.0	nLDE	General	70.024	Q	Comunica
Q9	5223.0	nLDE	General	54.729	Q	Comunica
Q10	9040.0	nLDE	General	106.242	Q1	Comunica
Q1	2.0	nLDE	General	1.678	Q	Comunica
Q2	8.0	nLDE	General	2.245	Q	Comunica
Q3	18.0	nLDE	General	2.282	Q	Comunica
Q4	54.0	nLDE	General	4.155	Q	Comunica
Q5	1091.0	nLDE	General	41.867	Q	Comunica
Q6	188.0	nLDE	General	27.471	Q	Comunica
Q7	251.0	nLDE	General	35.106	Q	Comunica
Q8	17807.0	nLDE	General	71.759	Q	Comunica
Q9	5223.0	nLDE	General	55.274	Q	Comunica
Q1	7.0	nLDE	Music	2.395	Q	Comunica
Q2	63.0	nLDE	Music	3.295	Q	Comunica
Q3	68.0	nLDE	Music	2.487	Q	Comunica
Q4	114.0	nLDE	Music	3.505	Q	Comunica
Q5	1768.0	nLDE	Music	19.811	Q	Comunica
Q1	7.0	nLDE	Music	2.56	Q	Comunica
Q2	63.0	nLDE	Music	3.09	Q	Comunica
Q3	68.0	nLDE	Music	2.325	Q	Comunica
Q4	114.0	nLDE	Music	3.448	Q	Comunica
Q5	1768.0	nLDE	Music	20.898	Q	Comunica
Q1	7.0	nLDE	Music	2.527	Q	Comunica
Q2	63.0	nLDE	Music	3.144	Q	Comunica
Q3	68.0	nLDE	Music	2.424	Q	Comunica
Q4	114.0	nLDE	Music	3.446	Q	Comunica
Q5	1768.0	nLDE	Music	20.446	Q	Comunica
Q1	4.0	nLDE	Sports	1.017	Q	Comunica
Q2	12.0	nLDE	Sports	2.19	Q	Comunica
Q3	14.0	nLDE	Sports	1.93	Q	Comunica
Q4	19.0	nLDE	Sports	1.753	Q	Comunica
Q5	36.0	nLDE	Sports	1.934	Q	Comunica
Q1	4.0	nLDE	Sports	1.049	Q	Comunica
Q2	12.0	nLDE	Sports	2.243	Q	Comunica
Q3	14.0	nLDE	Sports	1.857	Q	Comunica
Q4	19.0	nLDE	Sports	1.807	Q	Comunica
Q5	36.0	nLDE	Sports	1.966	Q	Comunica
Q1	4.0	nLDE	Sports	1.055	Q	Comunica
Q2	12.0	nLDE	Sports	2.133	Q	Comunica
Q3	14.0	nLDE	Sports	1.98	Q	Comunica
Q4	19.0	nLDE	Sports	1.852	Q	Comunica
Q5	36.0	nLDE	Sports	1.874	Q	Comunica
Q1	4.0	nLDE	LifeScience	1.914	Q	Comunica
Q2	6.0	nLDE	LifeScience	1.295	Q	Comunica
Q3	7.0	nLDE	LifeScience	2.683	Q	Comunica
Q4	8.0	nLDE	LifeScience	1.294	Q	Comunica
Q5	270.0	nLDE	LifeScience	4.826	Q	Comunica
Q1	4.0	nLDE	LifeScience	1.838	Q	Comunica
Q2	6.0	nLDE	LifeScience	1.352	Q	Comunica
Q3	7.0	nLDE	LifeScience	2.9	Q	Comunica
Q4	8.0	nLDE	LifeScience	1.206	Q	Comunica
Q5	270.0	nLDE	LifeScience	4.572	Q	Comunica
Q1	4.0	nLDE	LifeScience	1.958	Q	Comunica
Q2	6.0	nLDE	LifeScience	1.405	Q	Comunica
Q3	7.0	nLDE	LifeScience	2.841	Q	Comunica
Q4	8.0	nLDE	LifeScience	1.334	Q	Comunica
Q5	270.0	nLDE	LifeScience	4.814	Q	Comunica
Q1	2.0	nLDE	Historical	1.088	Q	Comunica
Q2	2.0	nLDE	Historical	2.222	Q	Comunica
Q3	4.0	nLDE	Historical	3.154	Q	Comunica
Q4	170.0	nLDE	Historical	3.672	Q	Comunica
Q5	138.0	nLDE	Historical	1.894	Q	Comunica
Q1	2.0	nLDE	Historical	1.109	Q	Comunica
Q2	2.0	nLDE	Historical	2.173	Q	Comunica
Q3	4.0	nLDE	Historical	3.128	Q	Comunica
Q4	170.0	nLDE	Historical	4.012	Q	Comunica
Q5	138.0	nLDE	Historical	1.814	Q	Comunica
Q1	2.0	nLDE	Historical	1.223	Q	Comunica
Q2	2.0	nLDE	Historical	2.207	Q	Comunica
Q3	4.0	nLDE	Historical	3.156	Q	Comunica
Q4	170.0	nLDE	Historical	4.196	Q	Comunica
Q5	138.0	nLDE	Historical	1.873	Q	Comunica
Q1	15.0	nLDE	Movies	38.544	Q	Comunica
Q2		nLDE	Movies	9.215	Q	Comunica
Q3	49.0	nLDE	Movies	4.881	Q	Comunica
Q4	56.0	nLDE	Movies	4.662	Q	Comunica
Q5	87.0	nLDE	Movies	4.742	Q	Comunica
Q1	15.0	nLDE	Movies	40.505	Q	Comunica
Q2		nLDE	Movies	8.964	Q	Comunica
Q3	49.0	nLDE	Movies	4.803	Q	Comunica
Q4	56.0	nLDE	Movies	4.709	Q	Comunica
Q5	87.0	nLDE	Movies	4.772	Q	Comunica
Q1	15.0	nLDE	Movies	38.02	Q	Comunica
Q2		nLDE	Movies	9.186	Q	Comunica
Q3	49.0	nLDE	Movies	4.848	Q	Comunica
Q4	56.0	nLDE	Movies	4.829	Q	Comunica
Q5	87.0	nLDE	Movies	4.93	Q	Comunica
C11	20.0	watdiv		19.318	C1	Comunica
C21	2.0	watdiv		46.341	C2	Comunica
