query	requests	answers	benchmark	subset	runtime_s	querytype	engine
Q10	3149	9040.0	dbpedia	General	108.272	Q1	Comunica
Q1	181	2.0	dbpedia	General	1.785	Q	Comunica
Q2	214	8.0	dbpedia	General	2.277	Q	Comunica
Q3	252	18.0	dbpedia	General	2.573	Q	Comunica
Q4	703	54.0	dbpedia	General	4.51	Q	Comunica
Q5	11626	1091.0	dbpedia	General	43.287	Q	Comunica
Q6	7611	188.0	dbpedia	General	29.313	Q	Comunica
Q7	2408	251.0	dbpedia	General	35.01	Q	Comunica
Q8	15043	17807.0	dbpedia	General	71.163	Q	Comunica
Q9	2298	5223.0	dbpedia	General	54.255	Q	Comunica
Q1	424	7.0	dbpedia	Music	2.537	Q	Comunica
Q2	718	63.0	dbpedia	Music	3.362	Q	Comunica
Q3	434	68.0	dbpedia	Music	2.508	Q	Comunica
Q4	789	114.0	dbpedia	Music	3.452	Q	Comunica
Q5	5876	1768.0	dbpedia	Music	20.393	Q	Comunica
Q1	17	4.0	dbpedia	Sports	1.075	Q	Comunica
Q2	308	12.0	dbpedia	Sports	2.254	Q	Comunica
Q3	270	14.0	dbpedia	Sports	1.896	Q	Comunica
Q4	229	19.0	dbpedia	Sports	1.903	Q	Comunica
Q5	270	36.0	dbpedia	Sports	1.982	Q	Comunica
Q1	287	4.0	dbpedia	LifeScience	1.988	Q	Comunica
Q2	61	6.0	dbpedia	LifeScience	1.349	Q	Comunica
Q3	401	7.0	dbpedia	LifeScience	2.801	Q	Comunica
Q4	68	8.0	dbpedia	LifeScience	1.207	Q	Comunica
Q5	710	270.0	dbpedia	LifeScience	4.567	Q	Comunica
Q1	22	2.0	dbpedia	Historical	1.153	Q	Comunica
Q2	307	2.0	dbpedia	Historical	2.264	Q	Comunica
Q3	688	4.0	dbpedia	Historical	3.42	Q	Comunica
Q4	728	170.0	dbpedia	Historical	3.745	Q	Comunica
Q5	209	138.0	dbpedia	Historical	1.901	Q	Comunica
Q1	2060	15.0	dbpedia	Movies	40.709	Q	Comunica
Q2	3441	1	dbpedia	Movies	9.696	Q	Comunica
Q3	1438	49.0	dbpedia	Movies	4.908	Q	Comunica
Q4	1438	56.0	dbpedia	Movies	4.736	Q	Comunica
Q5	1438	87.0	dbpedia	Movies	4.935	Q	Comunica
C11	5664	20.0	watdiv		18.965	C1	Comunica
C21	10667	2.0	watdiv		49.258	C2	Comunica
C31	57828	417029.0	watdiv		259.243	C3	Comunica
F11	291	0.0	watdiv		3.091	F1	Comunica
F12	346	9.0	watdiv		3.694	F1	Comunica
F13	345	5.0	watdiv		3.9	F1	Comunica
F14	345	4.0	watdiv		3.47	F1	Comunica
F15	346	9.0	watdiv		3.585	F1	Comunica
F21	98	0.0	watdiv		1.404	F2	Comunica
F22	117	0.0	watdiv		1.602	F2	Comunica
F23	1323	7.0	watdiv		5.503	F2	Comunica
F24	601	8.0	watdiv		3.413	F2	Comunica
F25	1323	7.0	watdiv		5.697	F2	Comunica
F31	236	26.0	watdiv		1.858	F3	Comunica
F32	404	5.0	watdiv		2.539	F3	Comunica
F33	236	26.0	watdiv		1.819	F3	Comunica
F34	404	5.0	watdiv		2.412	F3	Comunica
F35	454	5.0	watdiv		2.777	F3	Comunica
F41	1071	20.0	watdiv		5.63	F4	Comunica
F42	980	44.0	watdiv		4.907	F4	Comunica
F43	992	4.0	watdiv		4.375	F4	Comunica
F44	980	44.0	watdiv		4.433	F4	Comunica
F45	992	4.0	watdiv		4.463	F4	Comunica
F51	244	25.0	watdiv		2.031	F5	Comunica
F52	244	25.0	watdiv		2.097	F5	Comunica
F53	399	38.0	watdiv		2.526	F5	Comunica
F54	565	58.0	watdiv		3.217	F5	Comunica
F55	244	25.0	watdiv		2.024	F5	Comunica
L11	82	2.0	watdiv		1.411	L1	Comunica
L12	35	0.0	watdiv		1.154	L1	Comunica
L13	82	2.0	watdiv		1.327	L1	Comunica
L14	35	0.0	watdiv		1.152	L1	Comunica
L15	46	1.0	watdiv		1.272	L1	Comunica
L21	252	15.0	watdiv		1.949	L2	Comunica
L22	252	15.0	watdiv		1.777	L2	Comunica
L23	1338	48.0	watdiv		4.577	L2	Comunica
L24	1338	48.0	watdiv		4.417	L2	Comunica
L25	4283	236.0	watdiv		10.946	L2	Comunica
L31	38	38.0	watdiv		1.132	L3	Comunica
L32	22	41.0	watdiv		1.127	L3	Comunica
L33	30	21.0	watdiv		1.088	L3	Comunica
L34	33	27.0	watdiv		1.114	L3	Comunica
