query	runtime_s	answers	engine	benchmark	subset	querytype
Q10	35.3743340969	9040	nLDE	nLDE	General	Q1
Q1	0.40113401413000005	2	nLDE	nLDE	General	Q1
Q2	0.405297994614	8	nLDE	nLDE	General	Q2
Q3	0.728672027588	18	nLDE	nLDE	General	Q3
Q4	0.643460988998	54	nLDE	nLDE	General	Q4
Q5	900.0	214	nLDE	nLDE	General	Q5
Q6	5.380272150040001	188	nLDE	nLDE	General	Q6
Q7	0.849278926849	251	nLDE	nLDE	General	Q7
Q8	900.0	645	nLDE	nLDE	General	Q8
Q9	0.788369894028	5223	nLDE	nLDE	General	Q9
Q10	35.6127488613	9040	nLDE	nLDE	General	Q1
Q1	0.38206410408	2	nLDE	nLDE	General	Q1
Q2	0.39392614364600004	8	nLDE	nLDE	General	Q2
Q3	0.719261884689	18	nLDE	nLDE	General	Q3
Q4	0.6647450923920001	54	nLDE	nLDE	General	Q4
Q5	900.0	214	nLDE	nLDE	General	Q5
Q6	5.23540592194	188	nLDE	nLDE	General	Q6
Q7	0.8793499469760001	251	nLDE	nLDE	General	Q7
Q8	900.0	645	nLDE	nLDE	General	Q8
Q9	0.7909820079800001	5223	nLDE	nLDE	General	Q9
Q10	35.9293649197	9040	nLDE	nLDE	General	Q1
Q1	0.360037088394	2	nLDE	nLDE	General	Q1
Q2	0.364268064499	8	nLDE	nLDE	General	Q2
Q3	0.750991106033	18	nLDE	nLDE	General	Q3
Q4	0.616928100586	54	nLDE	nLDE	General	Q4
Q5	900.0	214	nLDE	nLDE	General	Q5
Q6	5.30593109131	188	nLDE	nLDE	General	Q6
Q7	0.836488962173	251	nLDE	nLDE	General	Q7
Q8	900.0	645	nLDE	nLDE	General	Q8
Q9	0.775880098343	5223	nLDE	nLDE	General	Q9
Q1	0.43474221229599996	7	nLDE	nLDE	Music	Q1
Q2	0.442112922668	63	nLDE	nLDE	Music	Q2
Q3	0.875460863113	68	nLDE	nLDE	Music	Q3
Q4	0.9739711284639999	114	nLDE	nLDE	Music	Q4
Q5	21.218296051	1768	nLDE	nLDE	Music	Q5
Q1	0.445872068405	7	nLDE	nLDE	Music	Q1
Q2	0.43688917159999996	63	nLDE	nLDE	Music	Q2
Q3	0.91187286377	68	nLDE	nLDE	Music	Q3
Q4	0.955900907516	114	nLDE	nLDE	Music	Q4
Q5	21.2189919949	1768	nLDE	nLDE	Music	Q5
Q1	0.440118789673	7	nLDE	nLDE	Music	Q1
Q2	0.46502494812	63	nLDE	nLDE	Music	Q2
Q3	0.8965470790860001	68	nLDE	nLDE	Music	Q3
Q4	0.9599938392640001	114	nLDE	nLDE	Music	Q4
Q5	21.0412318707	1768	nLDE	nLDE	Music	Q5
Q1	0.11078286170999999	4	nLDE	nLDE	Sports	Q1
Q2	0.484542131424	12	nLDE	nLDE	Sports	Q2
Q3	0.5086090564729999	14	nLDE	nLDE	Sports	Q3
Q4	0.249950885773	19	nLDE	nLDE	Sports	Q4
Q5	0.417217969894	36	nLDE	nLDE	Sports	Q5
Q1	0.0921490192413	4	nLDE	nLDE	Sports	Q1
Q2	0.43990993499799996	12	nLDE	nLDE	Sports	Q2
Q3	0.374418973923	14	nLDE	nLDE	Sports	Q3
Q4	0.217386007309	19	nLDE	nLDE	Sports	Q4
Q5	0.395612955093	36	nLDE	nLDE	Sports	Q5
Q1	0.0984139442444	4	nLDE	nLDE	Sports	Q1
Q2	0.45205116272	12	nLDE	nLDE	Sports	Q2
Q3	0.366692066193	14	nLDE	nLDE	Sports	Q3
Q4	0.25305891036999995	19	nLDE	nLDE	Sports	Q4
Q5	0.44927310943599996	36	nLDE	nLDE	Sports	Q5
Q1	0.36245107650799996	4	nLDE	nLDE	LifeScience	Q1
Q2	0.34931206703199996	6	nLDE	nLDE	LifeScience	Q2
Q3	0.533748149872	7	nLDE	nLDE	LifeScience	Q3
Q4	0.241080999374	8	nLDE	nLDE	LifeScience	Q4
Q5	0.5205638408659999	270	nLDE	nLDE	LifeScience	Q5
Q1	0.317651987076	4	nLDE	nLDE	LifeScience	Q1
Q2	0.328202009201	6	nLDE	nLDE	LifeScience	Q2
Q3	0.515358924866	7	nLDE	nLDE	LifeScience	Q3
Q4	0.208796977997	8	nLDE	nLDE	LifeScience	Q4
Q5	0.50376200676	270	nLDE	nLDE	LifeScience	Q5
Q1	0.325771093369	4	nLDE	nLDE	LifeScience	Q1
Q2	0.34890198707599995	6	nLDE	nLDE	LifeScience	Q2
Q3	0.553739070892	7	nLDE	nLDE	LifeScience	Q3
Q4	0.225711107254	8	nLDE	nLDE	LifeScience	Q4
Q5	0.567196130753	270	nLDE	nLDE	LifeScience	Q5
Q1	0.146656036377	2	nLDE	nLDE	Historical	Q1
Q2	0.22214698791499998	2	nLDE	nLDE	Historical	Q2
Q3	0.29726099968	4	nLDE	nLDE	Historical	Q3
Q4	2.52493000031	170	nLDE	nLDE	Historical	Q4
Q5	0.782668113708	138	nLDE	nLDE	Historical	Q5
Q1	0.138790845871	2	nLDE	nLDE	Historical	Q1
Q2	0.203499078751	2	nLDE	nLDE	Historical	Q2
Q3	0.309850931168	4	nLDE	nLDE	Historical	Q3
Q4	2.46780920029	170	nLDE	nLDE	Historical	Q4
Q5	0.750174999237	138	nLDE	nLDE	Historical	Q5
Q1	0.137623071671	2	nLDE	nLDE	Historical	Q1
Q2	0.208924055099	2	nLDE	nLDE	Historical	Q2
Q3	0.277521133423	4	nLDE	nLDE	Historical	Q3
Q4	2.42760396004	170	nLDE	nLDE	Historical	Q4
Q5	0.791166067123	138	nLDE	nLDE	Historical	Q5
Q1	24.6207890511	15	nLDE	nLDE	Movies	Q1
Q2	0.6942858695980001	46	nLDE	nLDE	Movies	Q2
Q3	0.501012086868	49	nLDE	nLDE	Movies	Q3
Q4	0.47662615776100004	56	nLDE	nLDE	Movies	Q4
Q5	0.494050979614	87	nLDE	nLDE	Movies	Q5
Q1	23.9140081406	15	nLDE	nLDE	Movies	Q1
Q2	0.726544141769	46	nLDE	nLDE	Movies	Q2
Q3	0.462350130081	49	nLDE	nLDE	Movies	Q3
Q4	0.458692073822	56	nLDE	nLDE	Movies	Q4
Q5	0.459023952484	87	nLDE	nLDE	Movies	Q5
Q1	24.902896165799998	15	nLDE	nLDE	Movies	Q1
Q2	0.705233812332	46	nLDE	nLDE	Movies	Q2
Q3	0.48582005500799996	49	nLDE	nLDE	Movies	Q3
Q4	0.485944986343	56	nLDE	nLDE	Movies	Q4
Q5	0.47722101211499995	87	nLDE	nLDE	Movies	Q5
C11	44.983331918699996	20	nLDE	WatDiv	General	C1
C21	21.9631419182	2	nLDE	WatDiv	General	C2
