query	runtime_s	answers	engine	benchmark	subset	querytype	requests
Q10	36.5382242203	9040	nLDE	nLDE	General	Q1	2940
Q1	0.374621152878	2	nLDE	nLDE	General	Q1	71
Q2	0.375592947006	8	nLDE	nLDE	General	Q2	69
Q3	0.7230980396269999	18	nLDE	nLDE	General	Q3	198
Q4	0.623616933823	54	nLDE	nLDE	General	Q4	148
Q5	900.0	219	nLDE	nLDE	General	Q5	19406
Q6	5.47911596298	188	nLDE	nLDE	General	Q6	915
Q7	0.828967094421	251	nLDE	nLDE	General	Q7	375
Q8	900.0	645	nLDE	nLDE	General	Q8	44351
Q9	0.7609820365909999	5223	nLDE	nLDE	General	Q9	170
Q1	0.42031288147	7	nLDE	nLDE	Music	Q1	64
Q2	0.50541806221	63	nLDE	nLDE	Music	Q2	72
Q3	0.8369131088259999	68	nLDE	nLDE	Music	Q3	169
Q4	0.9474589824680001	114	nLDE	nLDE	Music	Q4	273
Q5	21.066707849500002	1768	nLDE	nLDE	Music	Q5	2765
Q1	0.10890007019000002	4	nLDE	nLDE	Sports	Q1	9
Q2	0.47494006156900004	12	nLDE	nLDE	Sports	Q2	88
Q3	0.471175909042	14	nLDE	nLDE	Sports	Q3	50
Q4	0.30560398101799996	19	nLDE	nLDE	Sports	Q4	27
Q5	0.49821496009800004	36	nLDE	nLDE	Sports	Q5	50
Q1	0.35647010803199997	4	nLDE	nLDE	LifeScience	Q1	32
Q2	0.354238033295	6	nLDE	nLDE	LifeScience	Q2	52
Q3	0.564763069153	7	nLDE	nLDE	LifeScience	Q3	88
Q4	0.219605207443	8	nLDE	nLDE	LifeScience	Q4	28
Q5	0.5268290042880001	270	nLDE	nLDE	LifeScience	Q5	117
Q1	0.207415103912	2	nLDE	nLDE	Historical	Q1	22
Q2	0.21830105781599998	2	nLDE	nLDE	Historical	Q2	46
Q3	0.28961586952199997	4	nLDE	nLDE	Historical	Q3	65
Q4	2.5500459671	170	nLDE	nLDE	Historical	Q4	469
Q5	0.802655935287	138	nLDE	nLDE	Historical	Q5	209
C11	44.7772529125	20	nLDE	WatDiv	General	C1	2584
