query	runtime_s	answers	engine	benchmark	subset	querytype
Q11	900.0	8043	CROP	nLDE	Q11Q20	Q1
Q12	13.359013080599999	11002	CROP	nLDE	Q11Q20	Q1
Q13	900.0	3183	CROP	nLDE	Q11Q20	Q1
Q14	91.45711493489999	26570	CROP	nLDE	Q11Q20	Q1
Q15	8.82953310013	26757	CROP	nLDE	Q11Q20	Q1
Q16	900.0	17661	CROP	nLDE	Q11Q20	Q1
Q17	24.7703261375	33485	CROP	nLDE	Q11Q20	Q1
Q18	900.0	3454628	CROP	nLDE	Q11Q20	Q1
Q19	17.982655048399998	64	CROP	nLDE	Q11Q20	Q1
Q20	17.673624038699998	1688	CROP	nLDE	Q11Q20	Q2
Q11	900.0	7791	CROP	nLDE	Q11Q20	Q1
Q12	12.9802629948	11002	CROP	nLDE	Q11Q20	Q1
Q13	900.0	3173	CROP	nLDE	Q11Q20	Q1
Q14	90.9440310001	26570	CROP	nLDE	Q11Q20	Q1
Q15	10.912325859100001	26757	CROP	nLDE	Q11Q20	Q1
Q16	900.0	17547	CROP	nLDE	Q11Q20	Q1
Q17	24.081726074200002	33485	CROP	nLDE	Q11Q20	Q1
Q18	900.0	1992060	CROP	nLDE	Q11Q20	Q1
Q19	18.2829859257	64	CROP	nLDE	Q11Q20	Q1
Q20	17.9988520145	1688	CROP	nLDE	Q11Q20	Q2
Q11	900.0	7800	CROP	nLDE	Q11Q20	Q1
Q12	12.8725271225	11002	CROP	nLDE	Q11Q20	Q1
Q13	900.0	3175	CROP	nLDE	Q11Q20	Q1
Q14	91.5764570236	26570	CROP	nLDE	Q11Q20	Q1
Q15	14.3218429089	26757	CROP	nLDE	Q11Q20	Q1
Q16	900.0	17611	CROP	nLDE	Q11Q20	Q1
Q17	24.7091860771	33485	CROP	nLDE	Q11Q20	Q1
Q18	900.0	1717093	CROP	nLDE	Q11Q20	Q1
Q19	17.6109540462	64	CROP	nLDE	Q11Q20	Q1
Q20	18.050896883	1688	CROP	nLDE	Q11Q20	Q2
