query	answers	benchmark	subset	runtime_s	querytype	engine
Q11	8050	dbpedia	General	900.0	Q1	Comunica
Q12	11002	dbpedia	General	46.766	Q1	Comunica
Q13	21704	dbpedia	General	900.0	Q1	Comunica
Q14	26570	dbpedia	General	698.478	Q1	Comunica
Q15	26757	dbpedia	General	100.244	Q1	Comunica
Q16	14023	dbpedia	General	900.0	Q1	Comunica
Q17	33485	dbpedia	General	83.527	Q1	Comunica
Q18	368650	dbpedia	General	900.0	Q1	Comunica
Q19	64	dbpedia	General	43.657	Q1	Comunica
Q20	1688	dbpedia	General	51.117	Q2	Comunica
Q11	8057	dbpedia	General	900.0	Q1	Comunica
Q12	11002	dbpedia	General	48.36	Q1	Comunica
Q13	22498	dbpedia	General	900.0	Q1	Comunica
Q14	26570	dbpedia	General	687.869	Q1	Comunica
Q15	26757	dbpedia	General	103.943	Q1	Comunica
Q16	14027	dbpedia	General	900.0	Q1	Comunica
Q17	33485	dbpedia	General	83.842	Q1	Comunica
Q18	377908	dbpedia	General	900.0	Q1	Comunica
Q19	64	dbpedia	General	46.603	Q1	Comunica
Q20	1688	dbpedia	General	52.269	Q2	Comunica
Q11	8067	dbpedia	General	900.0	Q1	Comunica
Q12	11002	dbpedia	General	48.824	Q1	Comunica
Q13	21143	dbpedia	General	900.0	Q1	Comunica
Q14	26570	dbpedia	General	681.999	Q1	Comunica
Q15	26757	dbpedia	General	102.083	Q1	Comunica
Q16	13982	dbpedia	General	900.0	Q1	Comunica
Q17	33485	dbpedia	General	83.534	Q1	Comunica
Q18	377945	dbpedia	General	900.0	Q1	Comunica
Q19	64	dbpedia	General	46.079	Q1	Comunica
Q20	1688	dbpedia	General	52.0	Q2	Comunica
