query	runtime_s	answers	engine	benchmark	subset	querytype	requests
Q11	900.0	7626	CROP	nLDE	Q11Q20	Q1	65021
Q11	900.0	7630	CROP	nLDE	Q11Q20	Q1	65053
Q11	900.0	7645	CROP	nLDE	Q11Q20	Q1	65110
Q12	13.365221023599998	11002	CROP	nLDE	Q11Q20	Q1	1067
Q12	13.0556199551	11002	CROP	nLDE	Q11Q20	Q1	1067
Q12	12.8687939644	11002	CROP	nLDE	Q11Q20	Q1	1067
Q13	900.0	3122	CROP	nLDE	Q11Q20	Q1	41079
Q13	900.0	3126	CROP	nLDE	Q11Q20	Q1	41156
Q13	900.0	3131	CROP	nLDE	Q11Q20	Q1	41374
Q14	93.0438089371	26570	CROP	nLDE	Q11Q20	Q1	13476
Q14	94.8497908115	26570	CROP	nLDE	Q11Q20	Q1	13476
Q14	95.3353550434	26570	CROP	nLDE	Q11Q20	Q1	13476
Q15	10.8531389236	26757	CROP	nLDE	Q11Q20	Q1	1017
Q15	8.75885105133	26757	CROP	nLDE	Q11Q20	Q1	1017
Q15	14.869498014500001	26757	CROP	nLDE	Q11Q20	Q1	1017
Q16	900.0	17432	CROP	nLDE	Q11Q20	Q1	16899
Q16	900.0	17156	CROP	nLDE	Q11Q20	Q1	16895
Q16	900.0	17212	CROP	nLDE	Q11Q20	Q1	16895
Q17	24.9110991955	33485	CROP	nLDE	Q11Q20	Q1	1693
Q17	24.816520929299998	33485	CROP	nLDE	Q11Q20	Q1	1693
Q17	24.282571077300002	33485	CROP	nLDE	Q11Q20	Q1	1693
Q18	900.0	1891284	CROP	nLDE	Q11Q20	Q1	5026
Q18	900.0	1763510	CROP	nLDE	Q11Q20	Q1	5028
Q18	900.0	3439107	CROP	nLDE	Q11Q20	Q1	5169
Q19	18.594938993499998	64	CROP	nLDE	Q11Q20	Q1	2048
Q19	18.7307169437	64	CROP	nLDE	Q11Q20	Q1	2048
Q19	18.7488892078	64	CROP	nLDE	Q11Q20	Q1	2048
Q20	18.682713031800002	1688	CROP	nLDE	Q11Q20	Q2	2254
Q20	18.4295940399	1688	CROP	nLDE	Q11Q20	Q2	2254
Q20	18.3126571178	1688	CROP	nLDE	Q11Q20	Q2	2254
