query	runtime_s	answers	engine	benchmark	subset	querytype	requests
Q11	900.0	6572	nLDE	nLDE	Q11Q20	Q1	30224
Q11	900.0	6574	nLDE	nLDE	Q11Q20	Q1	30224
Q11	900.0	6567	nLDE	nLDE	Q11Q20	Q1	30224
Q12	13.2321650982	11002	nLDE	nLDE	Q11Q20	Q1	2411
Q12	13.491119861600001	11002	nLDE	nLDE	Q11Q20	Q1	2411
Q12	13.572593212100001	11002	nLDE	nLDE	Q11Q20	Q1	2411
Q13	162.94191384299998	24325	nLDE	nLDE	Q11Q20	Q1	7182
Q13	163.196141958	24325	nLDE	nLDE	Q11Q20	Q1	7182
Q13	163.327980042	24325	nLDE	nLDE	Q11Q20	Q1	7182
Q14	355.118894815	26570	nLDE	nLDE	Q11Q20	Q1	33520
Q14	349.017719984	26570	nLDE	nLDE	Q11Q20	Q1	33520
Q14	350.77482104300003	26570	nLDE	nLDE	Q11Q20	Q1	33520
Q15	12.726126909300001	26757	nLDE	nLDE	Q11Q20	Q1	1017
Q15	12.7968411446	26757	nLDE	nLDE	Q11Q20	Q1	1017
Q15	12.246060133	26757	nLDE	nLDE	Q11Q20	Q1	1017
Q16	429.172478914	30589	nLDE	nLDE	Q11Q20	Q1	5472
Q16	421.388945103	30589	nLDE	nLDE	Q11Q20	Q1	5472
Q16	625.305772066	30589	nLDE	nLDE	Q11Q20	Q1	5472
Q17	10.2117171288	33485	nLDE	nLDE	Q11Q20	Q1	361
Q17	12.1340792179	33485	nLDE	nLDE	Q11Q20	Q1	361
Q17	11.8447110653	33485	nLDE	nLDE	Q11Q20	Q1	361
Q18	900.0	9931053	nLDE	nLDE	Q11Q20	Q1	8368
Q18	900.0	9421510	nLDE	nLDE	Q11Q20	Q1	8368
Q18	900.0	9375863	nLDE	nLDE	Q11Q20	Q1	8368
Q19	46.1794469357	64	nLDE	nLDE	Q11Q20	Q1	1753
Q19	46.5384111404	64	nLDE	nLDE	Q11Q20	Q1	1753
Q19	46.067551136000006	64	nLDE	nLDE	Q11Q20	Q1	1753
Q20	45.5859520435	1688	nLDE	nLDE	Q11Q20	Q2	1959
Q20	46.0339050293	1688	nLDE	nLDE	Q11Q20	Q2	1959
Q20	45.5818428993	1688	nLDE	nLDE	Q11Q20	Q2	1959
