query	requests	answers	benchmark	subset	runtime_s	querytype	engine
Q11	123054	8091	dbpedia	General	900.0	Q1	Comunica
Q11	122551	8074	dbpedia	General	900.0	Q1	Comunica
Q11	121412	7874	dbpedia	General	900.0	Q1	Comunica
Q12	5433	11002	dbpedia	General	48.807	Q1	Comunica
Q12	5433	11002	dbpedia	General	47.256	Q1	Comunica
Q12	5433	11002	dbpedia	General	50.504	Q1	Comunica
Q13	113894	22309	dbpedia	General	900.0	Q1	Comunica
Q13	113858	21710	dbpedia	General	900.0	Q1	Comunica
Q13	113893	22329	dbpedia	General	900.0	Q1	Comunica
Q14	50192	26570	dbpedia	General	715.041	Q1	Comunica
Q14	50192	26570	dbpedia	General	695.43	Q1	Comunica
Q14	50193	26570	dbpedia	General	698.364	Q1	Comunica
Q15	8435	26757	dbpedia	General	103.245	Q1	Comunica
Q15	8435	26757	dbpedia	General	104.461	Q1	Comunica
Q15	8435	26757	dbpedia	General	104.552	Q1	Comunica
Q16	18490	13982	dbpedia	General	900.0	Q1	Comunica
Q16	18595	14046	dbpedia	General	900.0	Q1	Comunica
Q16	18486	13979	dbpedia	General	900.0	Q1	Comunica
Q17	2509	33485	dbpedia	General	82.797	Q1	Comunica
Q17	2509	33485	dbpedia	General	83.994	Q1	Comunica
Q17	2509	33485	dbpedia	General	83.032	Q1	Comunica
Q18	33637	375138	dbpedia	General	900.0	Q1	Comunica
Q18	33591	371316	dbpedia	General	900.0	Q1	Comunica
Q18	33621	373184	dbpedia	General	900.0	Q1	Comunica
Q19	15590	64	dbpedia	General	46.974	Q1	Comunica
Q19	15590	64	dbpedia	General	48.13	Q1	Comunica
Q19	15590	64	dbpedia	General	46.591	Q1	Comunica
Q20	15590	1688	dbpedia	General	53.912	Q2	Comunica
Q20	15590	1688	dbpedia	General	52.355	Q2	Comunica
Q20	15590	1688	dbpedia	General	52.7	Q2	Comunica
