query	runtime_s	answers	engine	benchmark	subset	querytype
Q10	29.3458738327	9040	CROP	nLDE	General	Q1
Q1	0.259365081787	2	CROP	nLDE	General	Q1
Q2	4.77851486206	8	CROP	nLDE	General	Q2
Q3	1.23586797714	18	CROP	nLDE	General	Q3
Q4	0.5280559062960001	54	CROP	nLDE	General	Q4
Q5	163.709134817	1091	CROP	nLDE	General	Q5
Q6	1.5511870384200002	188	CROP	nLDE	General	Q6
Q7	1.2409760952	251	CROP	nLDE	General	Q7
Q8	38.0585410595	17807	CROP	nLDE	General	Q8
Q9	1.9744760990099999	5223	CROP	nLDE	General	Q9
Q10	29.1872549057	9040	CROP	nLDE	General	Q1
Q1	0.252195119858	2	CROP	nLDE	General	Q1
Q2	4.41437482834	8	CROP	nLDE	General	Q2
Q3	1.19959521294	18	CROP	nLDE	General	Q3
Q4	0.505451917648	54	CROP	nLDE	General	Q4
Q5	165.170409918	1091	CROP	nLDE	General	Q5
Q6	1.47088098526	188	CROP	nLDE	General	Q6
Q7	1.35725593567	251	CROP	nLDE	General	Q7
Q8	37.565983057	17807	CROP	nLDE	General	Q8
Q9	1.95211696625	5223	CROP	nLDE	General	Q9
Q10	29.4388780594	9040	CROP	nLDE	General	Q1
Q1	0.26935005188	2	CROP	nLDE	General	Q1
Q2	4.24172997475	8	CROP	nLDE	General	Q2
Q3	1.21743893623	18	CROP	nLDE	General	Q3
Q4	0.48299407959	54	CROP	nLDE	General	Q4
Q5	162.24652099600002	1091	CROP	nLDE	General	Q5
Q6	1.5209479332	188	CROP	nLDE	General	Q6
Q7	1.3935129642500002	251	CROP	nLDE	General	Q7
Q8	38.1243782043	17807	CROP	nLDE	General	Q8
Q9	1.8646278381299999	5223	CROP	nLDE	General	Q9
Q1	0.49508094787600004	7	CROP	nLDE	Music	Q1
Q2	0.55789899826	63	CROP	nLDE	Music	Q2
Q3	0.8877291679379999	68	CROP	nLDE	Music	Q3
Q4	0.9892621040340001	114	CROP	nLDE	Music	Q4
Q5	29.0462100506	1768	CROP	nLDE	Music	Q5
Q1	0.497024059296	7	CROP	nLDE	Music	Q1
Q2	0.595530986786	63	CROP	nLDE	Music	Q2
Q3	0.8825550079350001	68	CROP	nLDE	Music	Q3
Q4	1.0055770873999998	114	CROP	nLDE	Music	Q4
Q5	28.6501750946	1768	CROP	nLDE	Music	Q5
Q1	0.444572925568	7	CROP	nLDE	Music	Q1
Q2	0.534940004349	63	CROP	nLDE	Music	Q2
Q3	0.880783081055	68	CROP	nLDE	Music	Q3
Q4	0.974430084229	114	CROP	nLDE	Music	Q4
Q5	29.286511898	1768	CROP	nLDE	Music	Q5
Q1	0.10336804390000001	4	CROP	nLDE	Sports	Q1
Q2	0.53252696991	12	CROP	nLDE	Sports	Q2
Q3	0.430119037628	14	CROP	nLDE	Sports	Q3
Q4	0.0798699855804	19	CROP	nLDE	Sports	Q4
Q5	0.23843812942499998	36	CROP	nLDE	Sports	Q5
Q1	0.10743188858	4	CROP	nLDE	Sports	Q1
Q2	0.45426607132	12	CROP	nLDE	Sports	Q2
Q3	0.492200136185	14	CROP	nLDE	Sports	Q3
Q4	0.0789349079132	19	CROP	nLDE	Sports	Q4
Q5	0.217458963394	36	CROP	nLDE	Sports	Q5
Q1	0.09158086776730001	4	CROP	nLDE	Sports	Q1
Q2	0.472798109055	12	CROP	nLDE	Sports	Q2
Q3	0.41092896461499995	14	CROP	nLDE	Sports	Q3
Q4	0.0849459171295	19	CROP	nLDE	Sports	Q4
Q5	0.229478120804	36	CROP	nLDE	Sports	Q5
Q1	0.447868824005	4	CROP	nLDE	LifeScience	Q1
Q2	0.511922836304	6	CROP	nLDE	LifeScience	Q2
Q3	0.33753180503799995	7	CROP	nLDE	LifeScience	Q3
Q4	0.775125980377	8	CROP	nLDE	LifeScience	Q4
Q5	0.516903877258	270	CROP	nLDE	LifeScience	Q5
Q1	0.433785915375	4	CROP	nLDE	LifeScience	Q1
Q2	0.47201490402199997	6	CROP	nLDE	LifeScience	Q2
Q3	0.263815164566	7	CROP	nLDE	LifeScience	Q3
Q4	0.71448802948	8	CROP	nLDE	LifeScience	Q4
Q5	0.558407068253	270	CROP	nLDE	LifeScience	Q5
Q1	0.474339962006	4	CROP	nLDE	LifeScience	Q1
Q2	0.500836133957	6	CROP	nLDE	LifeScience	Q2
Q3	0.243610858917	7	CROP	nLDE	LifeScience	Q3
Q4	0.6437489986420001	8	CROP	nLDE	LifeScience	Q4
Q5	0.517766952515	270	CROP	nLDE	LifeScience	Q5
Q1	0.273792028427	2	CROP	nLDE	Historical	Q1
Q2	0.317925930023	2	CROP	nLDE	Historical	Q2
