query	runtime_s	answers	engine	benchmark	subset	querytype	requests
Q10	30.5337331295	9040	CROP	nLDE	General	Q1	4209
Q1	0.255127191544	2	CROP	nLDE	General	Q1	33
Q2	4.84558796883	8	CROP	nLDE	General	Q2	324
Q3	1.29345798492	18	CROP	nLDE	General	Q3	257
Q4	0.479957103729	54	CROP	nLDE	General	Q4	119
Q5	163.285412073	1091	CROP	nLDE	General	Q5	7320
Q6	1.5173470974	188	CROP	nLDE	General	Q6	440
Q7	1.37515807152	251	CROP	nLDE	General	Q7	358
Q8	38.8393421173	17807	CROP	nLDE	General	Q8	8458
Q9	1.7943000793500001	5223	CROP	nLDE	General	Q9	239
Q1	0.52526807785	7	CROP	nLDE	Music	Q1	64
Q2	0.563477039337	63	CROP	nLDE	Music	Q2	69
Q3	0.859262943268	68	CROP	nLDE	Music	Q3	169
Q4	0.994498968124	114	CROP	nLDE	Music	Q4	235
Q5	30.5504069328	1768	CROP	nLDE	Music	Q5	5070
Q1	0.10952997207599999	4	CROP	nLDE	Sports	Q1	9
Q2	0.47341895103500004	12	CROP	nLDE	Sports	Q2	65
Q3	0.38274288177500004	14	CROP	nLDE	Sports	Q3	50
Q4	0.112752914429	19	CROP	nLDE	Sports	Q4	11
Q5	0.23737788200399998	36	CROP	nLDE	Sports	Q5	26
Q1	0.47632503509499996	4	CROP	nLDE	LifeScience	Q1	43
Q2	0.46622204780599996	6	CROP	nLDE	LifeScience	Q2	57
Q3	0.318004131317	7	CROP	nLDE	LifeScience	Q3	36
Q4	0.682299137115	8	CROP	nLDE	LifeScience	Q4	53
Q5	0.550685882568	270	CROP	nLDE	LifeScience	Q5	117
Q1	0.230096101761	2	CROP	nLDE	Historical	Q1	22
Q2	0.288616895676	2	CROP	nLDE	Historical	Q2	36
Q3	0.42566704750100004	4	CROP	nLDE	Historical	Q3	45
Q4	2.63725805283	170	CROP	nLDE	Historical	Q4	469
Q5	0.887015104294	138	CROP	nLDE	Historical	Q5	193
C11	13.1521778107	20	CROP	WatDiv	General	C1	2359
C21	90.8365337849	2	CROP	WatDiv	General	C2	14123
C31	66.17940902710001	417029	CROP	WatDiv	General	C3	5807
F11	0.9368801116940001	0	CROP	WatDiv	General	F1	149
F12	1.5737850666	9	CROP	WatDiv	General	F1	249
F13	1.6909940242800001	5	CROP	WatDiv	General	F1	247
F14	1.66895484924	4	CROP	WatDiv	General	F1	247
F15	1.63655185699	9	CROP	WatDiv	General	F1	249
F21	1.0574409961700002	0	CROP	WatDiv	General	F2	63
F22	1.1379749774899999	0	CROP	WatDiv	General	F2	75
F23	0.863445043564	6	CROP	WatDiv	General	F2	235
