approach	dief_t	dief_t_relative	t_max	t_min	test	dataset	rank
nLDE	820485.7535441505	0.8431810854582932	107.64200000000001	30.0160050392	example/dbpedia2014//Q10.rq	dbpedia	2.0
CROP	864034.6641160765	0.8879345958366874	107.64200000000001	30.0160050392	example/dbpedia2014//Q10.rq	dbpedia	1.0
comunica	605362.9155000001	0.6221077672374488	107.64200000000001	30.0160050392	example/dbpedia2014//Q10.rq	dbpedia	3.0
nLDE	2.6360290689465	0.8665447300941814	1.521	0.289875984192	example/dbpedia2014//Q1.rq	dbpedia	1.0
CROP	2.4613315505985	0.80911622307643	1.521	0.289875984192	example/dbpedia2014//Q1.rq	dbpedia	2.0
comunica	0.14549999999999963	0.04783037475345156	1.521	0.289875984192	example/dbpedia2014//Q1.rq	dbpedia	3.0
nLDE	37.032258152950995	0.9525894470751928	4.85942006111	0.295295000076	example/dbpedia2014//Q2.rq	dbpedia	1.0
CROP	4.889575600615	0.12577569800320246	4.85942006111	0.295295000076	example/dbpedia2014//Q2.rq	dbpedia	3.0
comunica	23.238360488879998	0.5977657878060617	4.85942006111	0.295295000076	example/dbpedia2014//Q2.rq	dbpedia	2.0
nLDE	33.877534409523996	0.837599129939277	2.247	0.6774070262909999	example/dbpedia2014//Q3.rq	dbpedia	1.0
CROP	28.154744406690497	0.6961070169285096	2.247	0.6774070262909999	example/dbpedia2014//Q3.rq	dbpedia	2.0
comunica	11.408499999999998	0.2820674479552984	2.247	0.6774070262909999	example/dbpedia2014//Q3.rq	dbpedia	3.0
nLDE	221.04051630019902	0.9136926103678861	4.48	0.488441944122	example/dbpedia2014//Q4.rq	dbpedia	2.0
CROP	224.38134638786352	0.9275022585477162	4.48	0.488441944122	example/dbpedia2014//Q4.rq	dbpedia	1.0
comunica	79.82550000000002	0.3299665178571429	4.48	0.488441944122	example/dbpedia2014//Q4.rq	dbpedia	3.0
nLDE	100726.17492136493	0.6074819944788111	774.8098950389999	41.14	example/dbpedia2014//Q5.rq	dbpedia	3.0
CROP	782914.7032362947	0.9261781695017688	774.8098950389999	41.14	example/dbpedia2014//Q5.rq	dbpedia	2.0
comunica	821727.9889875487	0.9720937945383776	774.8098950389999	41.14	example/dbpedia2014//Q5.rq	dbpedia	1.0
nLDE	4702.937785470039	0.8777720803697551	28.499000000000002	1.50375103951	example/dbpedia2014//Q6.rq	dbpedia	2.0
CROP	5172.114094697971	0.9653407201853985	28.499000000000002	1.50375103951	example/dbpedia2014//Q6.rq	dbpedia	1.0
comunica	2142.1165	0.39981180750649703	28.499000000000002	1.50375103951	example/dbpedia2014//Q6.rq	dbpedia	3.0
nLDE	8276.228282432558	0.9811939010726987	33.605	0.8220858573909999	example/dbpedia2014//Q7.rq	dbpedia	1.0
CROP	8191.988636832206	0.9712068123082385	33.605	0.8220858573909999	example/dbpedia2014//Q7.rq	dbpedia	2.0
comunica	3593.808499999999	0.4260664231928112	33.605	0.8220858573909999	example/dbpedia2014//Q7.rq	dbpedia	3.0
nLDE	502591.8275101052	0.8839080022388907	881.553435087	39.2708120346	example/dbpedia2014//Q8.rq	dbpedia	3.0
CROP	15311520.992525885	0.9753914252811156	881.553435087	39.2708120346	example/dbpedia2014//Q8.rq	dbpedia	1.0
comunica	15044106.854094211	0.9583563144157408	881.553435087	39.2708120346	example/dbpedia2014//Q8.rq	dbpedia	2.0
nLDE	276750.75801337714	0.9905025578370115	53.495	0.739457845688	example/dbpedia2014//Q9.rq	dbpedia	1.0
CROP	272333.0338791703	0.9746913380732027	53.495	0.739457845688	example/dbpedia2014//Q9.rq	dbpedia	2.0
comunica	128892.431	0.4613114106995851	53.495	0.739457845688	example/dbpedia2014//Q9.rq	dbpedia	3.0
nLDE	8.783160617827502	0.8206260504370271	1.5290000000000001	0.28323507309	example/dbpedia2014/Music//Q1.rq	dbpedia	1.0
CROP	8.518149903297001	0.7958656361110904	1.5290000000000001	0.28323507309	example/dbpedia2014/Music//Q1.rq	dbpedia	2.0
comunica	0.09050000000000114	0.008455573203774748	1.5290000000000001	0.28323507309	example/dbpedia2014/Music//Q1.rq	dbpedia	3.0
nLDE	118.89681125163997	0.8839583008188542	2.135	0.272998094559	example/dbpedia2014/Music//Q2.rq	dbpedia	1.0
CROP	110.0550948429115	0.8182230760411249	2.135	0.272998094559	example/dbpedia2014/Music//Q2.rq	dbpedia	2.0
comunica	6.7759999999999865	0.05037730939370274	2.135	0.272998094559	example/dbpedia2014/Music//Q2.rq	dbpedia	3.0
nLDE	122.04812466907835	0.7766444668024941	2.311	0.813467025757	example/dbpedia2014/Music//Q3.rq	dbpedia	1.0
CROP	121.8455995302191	0.7753557126417079	2.311	0.813467025757	example/dbpedia2014/Music//Q3.rq	dbpedia	2.0
comunica	37.94349999999999	0.2414507343396034	2.311	0.813467025757	example/dbpedia2014/Music//Q3.rq	dbpedia	3.0
nLDE	312.1353325538645	0.8393713160418872	3.262	0.923539876938	example/dbpedia2014/Music//Q4.rq	dbpedia	1.0
CROP	306.978750794409	0.8255046166769096	3.262	0.923539876938	example/dbpedia2014/Music//Q4.rq	dbpedia	2.0
comunica	114.12	0.3068830875471942	3.262	0.923539876938	example/dbpedia2014/Music//Q4.rq	dbpedia	3.0
nLDE	35141.44608116302	0.6524537036283967	30.4640519619	19.713	example/dbpedia2014/Music//Q5.rq	dbpedia	2.0
CROP	28036.87927925759	0.5205467550107279	30.4640519619	19.713	example/dbpedia2014/Music//Q5.rq	dbpedia	3.0
comunica	35321.504868639204	0.6557967653364534	30.4640519619	19.713	example/dbpedia2014/Music//Q5.rq	dbpedia	1.0
nLDE	3.5230314016341997	0.927113526745842	0.95	0.091964006424	example/dbpedia2014/Sports//Q1.rq	dbpedia	1.0
CROP	3.4955405473709	0.9198790914133947	0.95	0.091964006424	example/dbpedia2014/Sports//Q1.rq	dbpedia	2.0
comunica	0.09649999999999997	0.025394736842105258	0.95	0.091964006424	example/dbpedia2014/Sports//Q1.rq	dbpedia	3.0
nLDE	21.785127099037503	0.8817033794332808	2.059	0.470764875412	example/dbpedia2014/Sports//Q2.rq	dbpedia	1.0
CROP	21.376344020843003	0.8651588158022908	2.059	0.470764875412	example/dbpedia2014/Sports//Q2.rq	dbpedia	2.0
comunica	8.151500000000002	0.32991338837623446	2.059	0.470764875412	example/dbpedia2014/Sports//Q2.rq	dbpedia	3.0
nLDE	22.687228843689454	0.8889283302127361	1.8230000000000002	0.393271923065	example/dbpedia2014/Sports//Q3.rq	dbpedia	1.0
CROP	22.000238105773906	0.8620107399801702	1.8230000000000002	0.393271923065	example/dbpedia2014/Sports//Q3.rq	dbpedia	2.0
comunica	6.6270000000000024	0.2596583339863648	1.8230000000000002	0.393271923065	example/dbpedia2014/Sports//Q3.rq	dbpedia	3.0
nLDE	28.080853006363704	0.9022830475664707	1.6380000000000001	0.0829420089722	example/dbpedia2014/Sports//Q4.rq	dbpedia	2.0
CROP	29.691531321525403	0.9540367367625924	1.6380000000000001	0.0829420089722	example/dbpedia2014/Sports//Q4.rq	dbpedia	1.0
comunica	6.772500000000003	0.21761133603238872	1.6380000000000001	0.0829420089722	example/dbpedia2014/Sports//Q4.rq	dbpedia	3.0
nLDE	56.9451137304324	0.8667445012242374	1.825	0.25616312027	example/dbpedia2014/Sports//Q5.rq	dbpedia	2.0
CROP	60.2855374336248	0.9175880887918539	1.825	0.25616312027	example/dbpedia2014/Sports//Q5.rq	dbpedia	1.0
comunica	15.1785	0.23102739726027396	1.825	0.25616312027	example/dbpedia2014/Sports//Q5.rq	dbpedia	3.0
nLDE	3.7168781738278995	0.7996725847306153	1.162	0.194768190384	example/dbpedia2014/LifeScience//Q1.rq	dbpedia	2.0
CROP	3.878722188949	0.8344927256774957	1.162	0.194768190384	example/dbpedia2014/LifeScience//Q1.rq	dbpedia	1.0
comunica	0.2915	0.06271514629948365	1.162	0.194768190384	example/dbpedia2014/LifeScience//Q1.rq	dbpedia	3.0
nLDE	5.950458182335	0.7972210855218381	1.244	0.386244058609	example/dbpedia2014/LifeScience//Q2.rq	dbpedia	1.0
CROP	4.7135130300525	0.6314996020970659	1.244	0.386244058609	example/dbpedia2014/LifeScience//Q2.rq	dbpedia	2.0
comunica	0.8820000000000001	0.11816720257234728	1.244	0.386244058609	example/dbpedia2014/LifeScience//Q2.rq	dbpedia	3.0
nLDE	11.1018394346235	0.786694971274341	2.016	0.215087175369	example/dbpedia2014/LifeScience//Q3.rq	dbpedia	2.0
CROP	12.7284284944545	0.9019578014777848	2.016	0.215087175369	example/dbpedia2014/LifeScience//Q3.rq	dbpedia	1.0
comunica	2.55	0.18069727891156462	2.016	0.215087175369	example/dbpedia2014/LifeScience//Q3.rq	dbpedia	3.0
nLDE	8.6964651384351	0.896173241800814	1.213	0.201111078262	example/dbpedia2014/LifeScience//Q4.rq	dbpedia	1.0
CROP	7.019944433212001	0.7234072993829349	1.213	0.201111078262	example/dbpedia2014/LifeScience//Q4.rq	dbpedia	2.0
