query,runtime_s,optimization_time_s,execution_time_s,requests,answers,timeout_reached,bushy_plan,BJ_count,HJ_count,bc_cost_p_star,ac_cost_p_star,delta,idp_k,idp_top_t,r_star_selected,idp_adaptive_k,robustness_threshold,cost_threshold,dataset,benchmark,triple_pattern_count
F11,1.3704791069030762,0.11807799339294434,1.2524011135101318,270,0,False,False,2,3,911.079,910.2995,0.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F11,1.1226999759674072,0.11010217666625977,1.0125977993011475,163,0,False,False,2,3,511.979,511.1995,1.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F11,1.1566169261932373,0.11599397659301758,1.0406229496002197,163,0,False,False,2,3,404.529,403.7495,2.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F11,1.28914213180542,0.16677618026733398,1.122365951538086,194,0,False,False,3,2,377.64733333333334,376.86783333333335,3.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F11,1.2484052181243896,0.11402702331542969,1.13437819480896,194,0,False,False,3,2,340.55150000000003,339.77200000000005,4.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F11,1.2414312362670898,0.09635519981384277,1.145076036453247,194,0,False,False,3,2,318.294,317.5145,5.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F11,1.2746491432189941,0.1136941909790039,1.1609549522399902,194,0,False,False,3,2,303.4556666666667,302.67616666666663,6.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F11,1.2270958423614502,0.11423206329345703,1.1128637790679932,178,0,False,False,4,1,292.71590476190477,299.2732142857143,7.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F13,1.0873210430145264,0.09400486946105957,0.9933161735534668,163,5,False,False,2,3,910.6990000000001,1038.7135,0.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F13,1.1237940788269043,0.13045191764831543,0.9933421611785889,163,5,False,False,2,3,460.43233333333336,485.64683333333335,1.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F13,1.173780918121338,0.14326119422912598,1.030519723892212,163,5,False,False,2,3,378.5656666666667,390.93016666666665,2.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F13,1.078212022781372,0.08485198020935059,0.9933600425720215,247,5,False,False,3,2,334.6284444444444,342.7096111111111,3.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F13,1.1084010601043701,0.10342097282409668,1.0049800872802734,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F13,1.1248819828033447,0.09503293037414551,1.0298490524291992,247,5,False,False,3,2,292.3306666666667,296.9851666666667,5.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F13,1.103485107421875,0.09286093711853027,1.0106241703033447,247,5,False,False,3,2,281.7562222222222,285.5540555555556,6.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F13,1.1641380786895752,0.14351987838745117,1.020618200302124,247,5,False,False,3,2,274.2030476190476,277.38897619047617,7.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F22,1.1158170700073242,0.33495402336120605,0.7808630466461182,145,0,False,False,4,3,541.654,543.9545,0.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F22,0.7097370624542236,0.321307897567749,0.3884291648864746,43,0,False,False,6,1,314.44685714285714,1012.0496904761906,1.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F22,0.7041878700256348,0.2638850212097168,0.44030284881591797,43,0,False,False,6,1,269.0504285714286,618.9240952380953,2.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F22,0.9032070636749268,0.2694828510284424,0.6337242126464844,75,0,False,False,7,0,250.5082857142857,484.4722301587302,3.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F22,1.0261151790618896,0.30693912506103516,0.7191760540008545,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F22,0.9586589336395264,0.26587486267089844,0.6927840709686279,83,0,False,False,7,0,230.8025714285714,372.0387380952381,5.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F22,1.0821480751037598,0.3268101215362549,0.7553379535675049,75,0,False,False,7,0,225.87614285714284,343.9303650793651,6.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F22,1.0852060317993164,0.31069302558898926,0.7745130062103271,75,0,False,False,7,0,222.35726530612246,323.8529557823129,7.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F23,4.396249055862427,0.2628591060638428,4.133389949798584,665,7,False,False,1,6,1507.986,1507.9625,0.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F23,2.615844964981079,0.27519798278808594,2.340646982192993,421,7,False,False,2,5,785.1526666666668,785.1291666666668,1.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F23,2.042778968811035,0.3298988342285156,1.7128801345825195,284,7,False,False,3,4,609.8413333333333,609.8178333333333,2.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F23,2.0113048553466797,0.24565696716308594,1.7656478881835938,291,7,False,False,3,4,548.6135555555555,548.5900555555555,3.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F23,1.07955002784729,0.2992990016937256,0.7802510261535645,244,7,False,False,4,3,506.4786666666667,506.4551666666667,4.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F23,0.9312307834625244,0.24740290641784668,0.6838278770446777,200,7,False,False,5,2,461.1353333333333,568.0868333333333,5.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F23,0.7747030258178711,0.258742094039917,0.5159609317779541,170,7,False,False,6,1,425.92033333333325,515.0426666666666,6.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F23,0.823699951171875,0.2548670768737793,0.5688328742980957,170,7,False,False,6,1,398.57628571428575,474.9635,7.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,8
F32,1.1354877948760986,0.15355300903320312,0.9819347858428955,138,5,False,False,3,2,1267.902,16157.222500000002,0.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F32,1.1361298561096191,0.11436796188354492,1.0217618942260742,138,5,False,False,3,2,662.752,3759.6324999999997,1.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F32,1.102358102798462,0.11295509338378906,0.9894030094146729,138,5,False,False,3,2,555.827,2178.6525,2.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F32,0.46248412132263184,0.12199807167053223,0.3404860496520996,85,5,False,False,4,1,497.6813333333333,1629.155166666667,3.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F32,0.47707700729370117,0.1008460521697998,0.37623095512390137,85,5,False,False,4,1,468.4855,1354.2835,4.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F32,0.5702660083770752,0.17582416534423828,0.3944418430328369,85,5,False,False,4,1,450.968,1189.3605000000002,5.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F32,0.5168631076812744,0.1271219253540039,0.3897411823272705,85,5,False,False,4,1,439.2896666666667,1079.4118333333333,6.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F32,0.4828338623046875,0.1161949634552002,0.3666388988494873,85,5,False,False,4,1,430.948,1000.8770714285715,7.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F35,1.1511142253875732,0.14741086959838867,1.0037033557891846,146,5,False,False,3,2,1334.232,16202.553500000002,0.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F35,1.1044020652770996,0.11575484275817871,0.9886472225189209,146,5,False,False,3,2,680.3153333333333,3772.916833333333,1.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F35,1.0820097923278809,0.11256003379821777,0.9694497585296631,146,5,False,False,3,2,564.7736666666667,2185.410166666667,2.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F35,0.5488348007202148,0.17069292068481445,0.3781418800354004,100,5,False,False,4,1,507.42244444444447,1637.4039444444445,3.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F35,0.46401500701904297,0.11416101455688477,0.3498539924621582,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F35,0.5409300327301025,0.16297698020935059,0.37795305252075195,100,5,False,False,4,1,456.94466666666665,1194.4021666666667,5.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F35,0.5131218433380127,0.12688517570495605,0.38623666763305664,100,5,False,False,4,1,444.32522222222224,1083.6517222222224,6.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F35,0.5733070373535156,0.1781167984008789,0.3951902389526367,100,5,False,False,4,1,435.3113333333333,1004.5442619047619,7.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,6
F42,2.8212790489196777,0.4568297863006592,2.3644492626190186,429,44,False,False,2,6,1739.554,12351.195000000002,0.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,9
F42,2.768476963043213,0.4373660087585449,2.331110954284668,429,44,False,False,2,6,821.6206666666667,2677.1783333333333,1.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,9
F42,2.1240878105163574,0.37216806411743164,1.7519197463989258,284,44,False,False,3,5,653.0093333333333,1632.9586666666669,2.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,9
F42,1.2669329643249512,0.4543440341949463,0.8125889301300049,221,44,False,False,4,4,587.2688888888888,1275.3487777777782,3.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,9
F42,1.2233850955963135,0.4678928852081299,0.7554922103881836,221,44,False,False,4,4,534.9716666666667,1077.1168333333333,4.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,9
F42,1.2258861064910889,0.4377608299255371,0.7881252765655518,221,44,False,False,4,4,503.5933333333333,958.1776666666667,5.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,9
F42,1.1376619338989258,0.3552100658416748,0.782451868057251,221,44,False,False,4,4,482.6744444444444,801.7728888888889,6.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,9
F42,1.1590650081634521,0.36435985565185547,0.7947051525115967,226,44,False,False,4,4,478.4371428571429,832.9519523809524,7.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,9
F44,2.6214680671691895,0.3370540142059326,2.284414052963257,429,44,False,False,2,6,1739.554,12351.195000000002,0.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,9
F44,2.7520129680633545,0.4184448719024658,2.3335680961608887,429,44,False,False,2,6,821.6206666666667,2677.1783333333333,1.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,9
F44,2.2253150939941406,0.42691516876220703,1.7983999252319336,284,44,False,False,3,5,653.0093333333333,1632.9586666666669,2.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,9
F44,1.2078680992126465,0.37314605712890625,0.8347220420837402,221,44,False,False,4,4,587.2688888888888,1275.3487777777782,3.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,9
F44,1.2054839134216309,0.4440000057220459,0.761483907699585,221,44,False,False,4,4,534.9716666666667,1077.1168333333333,4.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,9
F44,1.248769998550415,0.4741201400756836,0.7746498584747314,221,44,False,False,4,4,503.5933333333333,958.1776666666667,5.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,9
F44,1.166111946105957,0.39356017112731934,0.7725517749786377,221,44,False,False,4,4,482.6744444444444,801.7728888888889,6.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,9
