query,runtime_s,optimization_time_s,execution_time_s,requests,answers,timeout_reached,bushy_plan,BJ_count,HJ_count,bc_cost_p_star,ac_cost_p_star,delta,idp_k,idp_top_t,r_star_selected,idp_adaptive_k,robustness_threshold,cost_threshold,dataset,benchmark,triple_pattern_count
HIQ1,0.22965383529663086,0.06025981903076172,0.16939401626586914,22,2,False,False,4,0,872.375,4326.514,4.0,2,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,5
HIQ1,0.25274181365966797,0.08089900016784668,0.1718428134918213,22,2,False,False,4,0,872.375,4326.514,4.0,3,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,5
HIQ1,0.35466599464416504,0.1819591522216797,0.17270684242248535,20,2,False,False,4,0,872.375,4326.514,4.0,4,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,5
HIQ1,0.3441309928894043,0.16870594024658203,0.17542505264282227,18,2,False,False,4,0,872.3749999999999,47011.022333333334,4.0,5,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,5
HIQ1,0.28673291206359863,0.15281319618225098,0.13391971588134766,18,2,False,False,4,0,872.3749999999999,47011.022333333334,4.0,6,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,5
HIQ3,0.34345197677612305,0.07495403289794922,0.26849794387817383,65,4,False,False,4,0,55.289,68.747875,4.0,2,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,5
HIQ3,0.33427000045776367,0.08236098289489746,0.2519090175628662,65,4,False,False,4,0,55.289,68.747875,4.0,3,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,5
HIQ3,0.39260315895080566,0.16062688827514648,0.23197627067565918,45,4,False,False,4,0,55.289,197.80308333333335,4.0,4,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,5
HIQ3,0.470628023147583,0.2038278579711914,0.2668001651763916,45,4,False,False,4,0,55.289,197.80308333333335,4.0,5,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,5
HIQ3,0.4569990634918213,0.20687007904052734,0.25012898445129395,45,4,False,False,4,0,55.289,197.80308333333335,4.0,6,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,5
LSQ1,0.4967069625854492,0.0341639518737793,0.4625430107116699,43,4,False,False,1,1,13.703,43.37050000000001,4.0,2,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,3
LSQ1,0.4289731979370117,0.03571200370788574,0.393261194229126,43,4,False,False,1,1,13.703,43.37050000000001,4.0,3,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,3
