query,runtime_s,optimization_time_s,execution_time_s,requests,answers,timeout_reached,bushy_plan,BJ_count,HJ_count,bc_cost_p_star,ac_cost_p_star,delta,idp_k,idp_top_t,r_star_selected,idp_adaptive_k,robustness_threshold,cost_threshold,dataset,benchmark,triple_pattern_count
F11,1.1179969310760498,0.07750511169433594,1.0404918193817139,149,0,False,False,2,3,392.1065,749.8802499999999,4.0,4,5,0,True,0.05,0.1,WatDiv,WatDiv,6
F11,1.154958963394165,0.09898495674133301,1.055974006652832,149,0,False,False,2,3,392.1065,749.8802499999999,4.0,4,5,0,True,0.05,0.3,WatDiv,WatDiv,6
F11,1.1570210456848145,0.11281299591064453,1.04420804977417,149,0,False,False,2,3,392.1065,749.8802499999999,4.0,4,5,0,True,0.05,0.5,WatDiv,WatDiv,6
F11,1.2432808876037598,0.10564422607421875,1.137636661529541,149,0,False,False,2,3,392.1065,749.8802499999999,4.0,4,5,0,True,0.05,0.7,WatDiv,WatDiv,6
F11,1.024137020111084,0.0695199966430664,0.9546170234680176,149,0,False,False,2,3,392.1065,749.8802499999999,4.0,4,5,0,True,0.05,0.9,WatDiv,WatDiv,6
F11,1.0509960651397705,0.05359292030334473,0.9974031448364258,149,0,False,False,2,3,392.1065,749.8802499999999,4.0,4,5,0,True,0.1,0.1,WatDiv,WatDiv,6
F11,1.108144998550415,0.09667801856994629,1.0114669799804688,149,0,False,False,2,3,392.1065,749.8802499999999,4.0,4,5,0,True,0.1,0.3,WatDiv,WatDiv,6
F11,1.0891199111938477,0.05765700340270996,1.0314629077911377,149,0,False,False,2,3,392.1065,749.8802499999999,4.0,4,5,0,True,0.1,0.5,WatDiv,WatDiv,6
F11,1.1005899906158447,0.07323479652404785,1.0273551940917969,149,0,False,False,2,3,392.1065,749.8802499999999,4.0,4,5,0,True,0.1,0.7,WatDiv,WatDiv,6
F11,1.028609037399292,0.07308316230773926,0.9555258750915527,149,0,False,False,2,3,392.1065,749.8802499999999,4.0,4,5,0,True,0.1,0.9,WatDiv,WatDiv,6
F11,1.1057970523834229,0.0982210636138916,1.0075759887695312,149,0,False,False,2,3,392.1065,749.8802499999999,4.0,4,5,0,True,0.15,0.1,WatDiv,WatDiv,6
F11,1.075624942779541,0.08657598495483398,0.989048957824707,149,0,False,False,2,3,392.1065,749.8802499999999,4.0,4,5,0,True,0.15,0.3,WatDiv,WatDiv,6
F11,1.0262889862060547,0.05599403381347656,0.9702949523925781,149,0,False,False,2,3,392.1065,749.8802499999999,4.0,4,5,0,True,0.15,0.5,WatDiv,WatDiv,6
F11,1.0529921054840088,0.06821918487548828,0.9847729206085205,149,0,False,False,2,3,392.1065,749.8802499999999,4.0,4,5,0,True,0.15,0.7,WatDiv,WatDiv,6
F11,1.0568780899047852,0.0780789852142334,0.9787991046905518,149,0,False,False,2,3,392.1065,749.8802499999999,4.0,4,5,0,True,0.15,0.9,WatDiv,WatDiv,6
