query,runtime_s,requests,answers,timeout_reached,client,dataset,benchmark
F11,1.0985050201416016,149,0,False,crop,WatDiv,WatDiv
F11,1.0967249870300293,202,0,False,nlde,WatDiv,WatDiv
F12,1.0901739597320557,249,9,False,crop,WatDiv,WatDiv
F12,3.9966788291931152,868,9,False,nlde,WatDiv,WatDiv
F13,1.0598900318145752,247,5,False,crop,WatDiv,WatDiv
F13,3.5101640224456787,810,5,False,nlde,WatDiv,WatDiv
F14,1.122020959854126,247,4,False,crop,WatDiv,WatDiv
F14,3.578817844390869,822,4,False,nlde,WatDiv,WatDiv
F15,1.123931884765625,249,9,False,crop,WatDiv,WatDiv
F15,3.9715898036956787,868,9,False,nlde,WatDiv,WatDiv
F21,0.6619679927825928,63,0,False,crop,WatDiv,WatDiv
F21,0.8779501914978027,140,0,False,nlde,WatDiv,WatDiv
F22,0.9269421100616455,75,0,False,crop,WatDiv,WatDiv
F22,0.8801419734954834,145,0,False,nlde,WatDiv,WatDiv
F23,1.0029330253601074,237,7,False,crop,WatDiv,WatDiv
F23,0.9828770160675049,237,7,False,nlde,WatDiv,WatDiv
F24,0.9308829307556152,202,8,False,crop,WatDiv,WatDiv
F24,0.8653841018676758,202,8,False,nlde,WatDiv,WatDiv
F25,0.9598648548126221,237,7,False,crop,WatDiv,WatDiv
F25,0.8979339599609375,237,7,False,nlde,WatDiv,WatDiv
F31,1.140089988708496,169,26,False,crop,WatDiv,WatDiv
F31,18.015437841415405,1989,26,False,nlde,WatDiv,WatDiv
F32,0.4760439395904541,85,5,False,crop,WatDiv,WatDiv
F32,18.242419004440308,2012,5,False,nlde,WatDiv,WatDiv
F33,1.1212031841278076,169,26,False,crop,WatDiv,WatDiv
F33,18.05627703666687,1989,26,False,nlde,WatDiv,WatDiv
F34,0.4548029899597168,85,5,False,crop,WatDiv,WatDiv
F34,18.16842007637024,2012,5,False,nlde,WatDiv,WatDiv
F35,0.4984419345855713,100,5,False,crop,WatDiv,WatDiv
F35,17.9287109375,2024,5,False,nlde,WatDiv,WatDiv
F41,0.9789068698883057,244,20,False,crop,WatDiv,WatDiv
F41,0.8208901882171631,255,20,False,nlde,WatDiv,WatDiv
F42,0.9528441429138184,225,44,False,crop,WatDiv,WatDiv
F42,0.8450548648834229,226,44,False,nlde,WatDiv,WatDiv
F43,0.9725780487060547,234,4,False,crop,WatDiv,WatDiv
F43,0.8082737922668457,254,4,False,nlde,WatDiv,WatDiv
F44,0.939288854598999,225,44,False,crop,WatDiv,WatDiv
F44,0.8104259967803955,226,44,False,nlde,WatDiv,WatDiv
F45,0.9015309810638428,234,4,False,crop,WatDiv,WatDiv
F45,0.8738000392913818,254,4,False,nlde,WatDiv,WatDiv
F51,0.5961668491363525,168,25,False,crop,WatDiv,WatDiv
F51,39.4781551361084,1731,25,False,nlde,WatDiv,WatDiv
F52,0.641746997833252,168,25,False,crop,WatDiv,WatDiv
F52,39.241050004959106,1731,25,False,nlde,WatDiv,WatDiv
F53,0.9507579803466797,265,38,False,crop,WatDiv,WatDiv
F53,39.17796301841736,1800,38,False,nlde,WatDiv,WatDiv
F54,1.2359778881072998,387,58,False,crop,WatDiv,WatDiv
F54,39.49787783622742,1882,58,False,nlde,WatDiv,WatDiv
F55,0.6658051013946533,168,25,False,crop,WatDiv,WatDiv
F55,39.47006702423096,1731,25,False,nlde,WatDiv,WatDiv
L11,0.5318968296051025,82,2,False,crop,WatDiv,WatDiv
L11,0.37340497970581055,82,2,False,nlde,WatDiv,WatDiv
L12,0.3284189701080322,35,0,False,crop,WatDiv,WatDiv
L12,0.3861989974975586,35,0,False,nlde,WatDiv,WatDiv
L13,0.5257680416107178,82,2,False,crop,WatDiv,WatDiv
L13,0.5682718753814697,82,2,False,nlde,WatDiv,WatDiv
L14,0.37681102752685547,35,0,False,crop,WatDiv,WatDiv
L14,0.3503100872039795,35,0,False,nlde,WatDiv,WatDiv
L15,0.42320704460144043,46,1,False,crop,WatDiv,WatDiv
L15,0.430387020111084,46,1,False,nlde,WatDiv,WatDiv
L21,0.5319149494171143,50,15,False,crop,WatDiv,WatDiv
L21,3.088346004486084,252,15,False,nlde,WatDiv,WatDiv
L22,0.5257101058959961,50,15,False,crop,WatDiv,WatDiv
L22,3.0310258865356445,252,15,False,nlde,WatDiv,WatDiv
L23,0.5803589820861816,61,48,False,crop,WatDiv,WatDiv
L23,15.307478189468384,1338,48,False,nlde,WatDiv,WatDiv
L24,0.5294649600982666,61,48,False,crop,WatDiv,WatDiv
L24,15.92074704170227,1338,48,False,nlde,WatDiv,WatDiv
L25,1.593358039855957,100,236,False,crop,WatDiv,WatDiv
L25,64.07108092308044,5343,236,False,nlde,WatDiv,WatDiv
L31,0.4301879405975342,38,38,False,crop,WatDiv,WatDiv
L31,0.502967119216919,38,38,False,nlde,WatDiv,WatDiv
L32,0.28964996337890625,22,41,False,crop,WatDiv,WatDiv
L32,0.29542016983032227,22,41,False,nlde,WatDiv,WatDiv
L33,0.41309618949890137,30,21,False,crop,WatDiv,WatDiv
L33,0.3943800926208496,30,21,False,nlde,WatDiv,WatDiv
L34,0.4418911933898926,33,27,False,crop,WatDiv,WatDiv
L34,0.40656304359436035,33,27,False,nlde,WatDiv,WatDiv
L35,0.27811312675476074,22,41,False,crop,WatDiv,WatDiv
L35,0.30273008346557617,22,41,False,nlde,WatDiv,WatDiv
L41,0.3635680675506592,33,54,False,crop,WatDiv,WatDiv
L41,0.3433949947357178,33,54,False,nlde,WatDiv,WatDiv
L42,0.46071720123291016,34,60,False,crop,WatDiv,WatDiv
L42,0.342134952545166,34,60,False,nlde,WatDiv,WatDiv
L43,0.3886868953704834,33,47,False,crop,WatDiv,WatDiv
L43,0.3477318286895752,33,47,False,nlde,WatDiv,WatDiv
L44,0.34917712211608887,33,57,False,crop,WatDiv,WatDiv
L44,0.3344910144805908,33,57,False,nlde,WatDiv,WatDiv
L45,0.3577089309692383,33,47,False,crop,WatDiv,WatDiv
L45,0.3321268558502197,33,47,False,nlde,WatDiv,WatDiv
L51,1.4549169540405273,105,239,False,crop,WatDiv,WatDiv
L51,60.91129398345947,5343,239,False,nlde,WatDiv,WatDiv
L52,0.7599639892578125,63,66,False,crop,WatDiv,WatDiv
L52,12.314765930175781,1081,66,False,nlde,WatDiv,WatDiv
L53,1.5561790466308594,105,239,False,crop,WatDiv,WatDiv
L53,59.9254469871521,5343,239,False,nlde,WatDiv,WatDiv
L54,0.6731069087982178,63,66,False,crop,WatDiv,WatDiv
L54,12.543694972991943,1081,66,False,nlde,WatDiv,WatDiv
L55,0.6810081005096436,70,76,False,crop,WatDiv,WatDiv
L55,20.428040981292725,1814,76,False,nlde,WatDiv,WatDiv
S11,1.5133039951324463,217,19,False,crop,WatDiv,WatDiv
S11,1.3606388568878174,217,19,False,nlde,WatDiv,WatDiv
S12,0.9917988777160645,116,9,False,crop,WatDiv,WatDiv
S12,0.8341400623321533,116,9,False,nlde,WatDiv,WatDiv
S13,1.2940659523010254,162,9,False,crop,WatDiv,WatDiv
S13,1.2020258903503418,162,9,False,nlde,WatDiv,WatDiv
S14,0.9733450412750244,116,9,False,crop,WatDiv,WatDiv
S14,0.9239280223846436,116,9,False,nlde,WatDiv,WatDiv
S15,1.4426920413970947,162,9,False,crop,WatDiv,WatDiv
S15,1.274144172668457,162,9,False,nlde,WatDiv,WatDiv
S21,2.413703203201294,475,11,False,crop,WatDiv,WatDiv
S21,12.066419839859009,1224,11,False,nlde,WatDiv,WatDiv
S22,3.8175292015075684,546,14,False,crop,WatDiv,WatDiv
S22,12.148203134536743,1225,14,False,nlde,WatDiv,WatDiv
S23,2.434911012649536,292,12,False,crop,WatDiv,WatDiv
S23,12.094242095947266,1224,12,False,nlde,WatDiv,WatDiv
S24,2.328130006790161,335,17,False,crop,WatDiv,WatDiv
S24,12.389341115951538,1224,17,False,nlde,WatDiv,WatDiv
S25,2.215456962585449,475,11,False,crop,WatDiv,WatDiv
S25,12.168776988983154,1224,11,False,nlde,WatDiv,WatDiv
S31,0.438356876373291,61,0,False,crop,WatDiv,WatDiv
S31,0.4054849147796631,61,0,False,nlde,WatDiv,WatDiv
S32,0.4255540370941162,60,0,False,crop,WatDiv,WatDiv
S32,0.3881218433380127,60,0,False,nlde,WatDiv,WatDiv
S33,1.0272479057312012,198,320,False,crop,WatDiv,WatDiv
S33,1.0350730419158936,198,320,False,nlde,WatDiv,WatDiv
S34,0.43656301498413086,61,0,False,crop,WatDiv,WatDiv
S34,0.41429996490478516,61,0,False,nlde,WatDiv,WatDiv
S35,0.46387410163879395,61,0,False,crop,WatDiv,WatDiv
S35,0.3979020118713379,61,0,False,nlde,WatDiv,WatDiv
S41,0.5101308822631836,56,0,False,crop,WatDiv,WatDiv
S41,0.4144120216369629,56,0,False,nlde,WatDiv,WatDiv
S42,1.0323598384857178,127,4,False,crop,WatDiv,WatDiv
S42,0.5279269218444824,62,4,False,nlde,WatDiv,WatDiv
S43,0.5193929672241211,80,1,False,crop,WatDiv,WatDiv
S43,0.5208530426025391,80,1,False,nlde,WatDiv,WatDiv
S44,1.0080299377441406,125,1,False,crop,WatDiv,WatDiv
S44,0.5463550090789795,60,1,False,nlde,WatDiv,WatDiv
S45,0.5118780136108398,79,0,False,crop,WatDiv,WatDiv
S45,0.5103590488433838,79,0,False,nlde,WatDiv,WatDiv
S51,1.017953872680664,112,0,False,crop,WatDiv,WatDiv
S51,0.31270790100097656,36,0,False,nlde,WatDiv,WatDiv
S52,1.0226950645446777,126,9,False,crop,WatDiv,WatDiv
S52,0.4602971076965332,101,9,False,nlde,WatDiv,WatDiv
S53,1.0223538875579834,112,0,False,crop,WatDiv,WatDiv
S53,0.3081800937652588,36,0,False,nlde,WatDiv,WatDiv
S54,0.9739179611206055,126,9,False,crop,WatDiv,WatDiv
S54,0.4160189628601074,101,9,False,nlde,WatDiv,WatDiv
S55,1.012498140335083,126,9,False,crop,WatDiv,WatDiv
S55,0.42716288566589355,101,9,False,nlde,WatDiv,WatDiv
S61,0.1638960838317871,10,1,False,crop,WatDiv,WatDiv
S61,0.1526789665222168,10,1,False,nlde,WatDiv,WatDiv
S62,0.14058995246887207,10,1,False,crop,WatDiv,WatDiv
S62,0.1424400806427002,10,1,False,nlde,WatDiv,WatDiv
S63,0.15121197700500488,11,2,False,crop,WatDiv,WatDiv
S63,0.14097094535827637,11,2,False,nlde,WatDiv,WatDiv
S64,0.14756202697753906,10,1,False,crop,WatDiv,WatDiv
S64,0.15511107444763184,10,1,False,nlde,WatDiv,WatDiv
S65,0.13986492156982422,11,2,False,crop,WatDiv,WatDiv
S65,0.10316801071166992,11,2,False,nlde,WatDiv,WatDiv
S71,0.19742703437805176,19,5,False,crop,WatDiv,WatDiv
S71,0.22461581230163574,19,5,False,nlde,WatDiv,WatDiv
S72,0.23227906227111816,18,2,False,crop,WatDiv,WatDiv
S72,0.24814510345458984,18,2,False,nlde,WatDiv,WatDiv
S73,0.18489694595336914,8,1,False,crop,WatDiv,WatDiv
S73,0.15792012214660645,8,1,False,nlde,WatDiv,WatDiv
S74,0.3401169776916504,40,13,False,crop,WatDiv,WatDiv
S74,0.320950984954834,40,13,False,nlde,WatDiv,WatDiv
S75,0.32569313049316406,30,7,False,crop,WatDiv,WatDiv
S75,0.3035428524017334,30,7,False,nlde,WatDiv,WatDiv
XC11,7.998136043548584,2363,20,False,crop,WatDiv,WatDiv
XC11,49.102038860321045,2585,20,False,nlde,WatDiv,WatDiv
XC21,50.62547492980957,14123,2,False,crop,WatDiv,WatDiv
XC21,24.07538390159607,3516,2,False,nlde,WatDiv,WatDiv
XC31,58.674941062927246,5807,417029,False,crop,WatDiv,WatDiv
XC31,59.799432039260864,13177,417029,False,nlde,WatDiv,WatDiv
F11,1.0156450271606445,149,0,False,crop,WatDiv,WatDiv
F11,1.0360450744628906,202,0,False,nlde,WatDiv,WatDiv
F12,1.0959641933441162,249,9,False,crop,WatDiv,WatDiv
F12,3.9148049354553223,868,9,False,nlde,WatDiv,WatDiv
F13,1.1052179336547852,247,5,False,crop,WatDiv,WatDiv
F13,3.5600569248199463,810,5,False,nlde,WatDiv,WatDiv
F14,1.1501891613006592,247,4,False,crop,WatDiv,WatDiv
F14,3.6295909881591797,822,4,False,nlde,WatDiv,WatDiv
F15,1.0417931079864502,249,9,False,crop,WatDiv,WatDiv
F15,3.881838083267212,868,9,False,nlde,WatDiv,WatDiv
F21,0.8594150543212891,63,0,False,crop,WatDiv,WatDiv
F21,0.9665331840515137,140,0,False,nlde,WatDiv,WatDiv
F22,0.8628220558166504,75,0,False,crop,WatDiv,WatDiv
F22,0.9655849933624268,145,0,False,nlde,WatDiv,WatDiv
F23,1.0463719367980957,237,7,False,crop,WatDiv,WatDiv
F23,0.8873851299285889,237,7,False,nlde,WatDiv,WatDiv
F24,1.0823960304260254,202,8,False,crop,WatDiv,WatDiv
F24,0.9095821380615234,202,8,False,nlde,WatDiv,WatDiv
F25,0.9978430271148682,237,7,False,crop,WatDiv,WatDiv
F25,1.1027960777282715,237,7,False,nlde,WatDiv,WatDiv
F31,1.188749074935913,169,26,False,crop,WatDiv,WatDiv
F31,17.89497709274292,1989,26,False,nlde,WatDiv,WatDiv
F32,0.4948000907897949,85,5,False,crop,WatDiv,WatDiv
F32,18.167605876922607,2012,5,False,nlde,WatDiv,WatDiv
F33,1.3734550476074219,169,26,False,crop,WatDiv,WatDiv
F33,17.943421125411987,1989,26,False,nlde,WatDiv,WatDiv
F34,0.5178608894348145,85,5,False,crop,WatDiv,WatDiv
F34,18.14065980911255,2012,5,False,nlde,WatDiv,WatDiv
F35,0.4653339385986328,100,5,False,crop,WatDiv,WatDiv
F35,18.160927057266235,2024,5,False,nlde,WatDiv,WatDiv
F41,0.8768310546875,244,20,False,crop,WatDiv,WatDiv
F41,0.8352940082550049,255,20,False,nlde,WatDiv,WatDiv
F42,0.9260590076446533,225,44,False,crop,WatDiv,WatDiv
F42,0.8372559547424316,226,44,False,nlde,WatDiv,WatDiv
F43,0.926954984664917,234,4,False,crop,WatDiv,WatDiv
F43,0.815748929977417,254,4,False,nlde,WatDiv,WatDiv
F44,0.8310098648071289,225,44,False,crop,WatDiv,WatDiv
F44,0.8130769729614258,226,44,False,nlde,WatDiv,WatDiv
F45,0.9898579120635986,234,4,False,crop,WatDiv,WatDiv
F45,0.8199660778045654,254,4,False,nlde,WatDiv,WatDiv
F51,0.6810150146484375,168,25,False,crop,WatDiv,WatDiv
F51,40.332818031311035,1731,25,False,nlde,WatDiv,WatDiv
F52,0.6615920066833496,168,25,False,crop,WatDiv,WatDiv
F52,39.825088024139404,1731,25,False,nlde,WatDiv,WatDiv
F53,0.9060420989990234,265,38,False,crop,WatDiv,WatDiv
F53,38.89996600151062,1800,38,False,nlde,WatDiv,WatDiv
F54,1.196347951889038,387,58,False,crop,WatDiv,WatDiv
F54,39.58875298500061,1882,58,False,nlde,WatDiv,WatDiv
F55,0.6279928684234619,168,25,False,crop,WatDiv,WatDiv
F55,39.40694808959961,1731,25,False,nlde,WatDiv,WatDiv
L11,0.5399858951568604,82,2,False,crop,WatDiv,WatDiv
L11,0.5139617919921875,82,2,False,nlde,WatDiv,WatDiv
L12,0.3408639430999756,35,0,False,crop,WatDiv,WatDiv
L12,0.34676313400268555,35,0,False,nlde,WatDiv,WatDiv
L13,0.5321810245513916,82,2,False,crop,WatDiv,WatDiv
L13,0.49391698837280273,82,2,False,nlde,WatDiv,WatDiv
L14,0.3534541130065918,35,0,False,crop,WatDiv,WatDiv
L14,0.36620306968688965,35,0,False,nlde,WatDiv,WatDiv
L15,0.40178394317626953,46,1,False,crop,WatDiv,WatDiv
L15,0.3984849452972412,46,1,False,nlde,WatDiv,WatDiv
L21,0.5086269378662109,50,15,False,crop,WatDiv,WatDiv
L21,2.895819902420044,252,15,False,nlde,WatDiv,WatDiv
L22,0.5865728855133057,50,15,False,crop,WatDiv,WatDiv
L22,2.895385980606079,252,15,False,nlde,WatDiv,WatDiv
L23,0.5834908485412598,61,48,False,crop,WatDiv,WatDiv
L23,15.162782907485962,1338,48,False,nlde,WatDiv,WatDiv
L24,0.49813389778137207,61,48,False,crop,WatDiv,WatDiv
L24,15.558182954788208,1338,48,False,nlde,WatDiv,WatDiv
L25,1.395927906036377,100,236,False,crop,WatDiv,WatDiv
L25,63.81733202934265,5343,236,False,nlde,WatDiv,WatDiv
L31,0.43370890617370605,38,38,False,crop,WatDiv,WatDiv
L31,0.44519996643066406,38,38,False,nlde,WatDiv,WatDiv
L32,0.30421900749206543,22,41,False,crop,WatDiv,WatDiv
L32,0.32023096084594727,22,41,False,nlde,WatDiv,WatDiv
L33,0.3884110450744629,30,21,False,crop,WatDiv,WatDiv
L33,0.4063529968261719,30,21,False,nlde,WatDiv,WatDiv
L34,0.45320796966552734,33,27,False,crop,WatDiv,WatDiv
L34,0.37546205520629883,33,27,False,nlde,WatDiv,WatDiv
L35,0.3021879196166992,22,41,False,crop,WatDiv,WatDiv
L35,0.30261802673339844,22,41,False,nlde,WatDiv,WatDiv
L41,0.3397080898284912,33,54,False,crop,WatDiv,WatDiv
L41,0.32026100158691406,33,54,False,nlde,WatDiv,WatDiv
L42,0.3820359706878662,34,60,False,crop,WatDiv,WatDiv
L42,0.419374942779541,34,60,False,nlde,WatDiv,WatDiv
L43,0.40200209617614746,33,47,False,crop,WatDiv,WatDiv
L43,0.36803603172302246,33,47,False,nlde,WatDiv,WatDiv
L44,0.3419780731201172,33,57,False,crop,WatDiv,WatDiv
L44,0.3400290012359619,33,57,False,nlde,WatDiv,WatDiv
L45,0.3484220504760742,33,47,False,crop,WatDiv,WatDiv
L45,0.339353084564209,33,47,False,nlde,WatDiv,WatDiv
L51,1.4735519886016846,105,239,False,crop,WatDiv,WatDiv
L51,59.95233917236328,5343,239,False,nlde,WatDiv,WatDiv
L52,0.6176981925964355,63,66,False,crop,WatDiv,WatDiv
L52,12.398625135421753,1081,66,False,nlde,WatDiv,WatDiv
L53,1.4237570762634277,105,239,False,crop,WatDiv,WatDiv
L53,60.76826000213623,5343,239,False,nlde,WatDiv,WatDiv
L54,0.6332378387451172,63,66,False,crop,WatDiv,WatDiv
L54,12.375190019607544,1081,66,False,nlde,WatDiv,WatDiv
L55,0.6277580261230469,70,76,False,crop,WatDiv,WatDiv
L55,20.11967706680298,1814,76,False,nlde,WatDiv,WatDiv
S11,1.3220820426940918,217,19,False,crop,WatDiv,WatDiv
S11,1.2523200511932373,217,19,False,nlde,WatDiv,WatDiv
S12,0.9925429821014404,116,9,False,crop,WatDiv,WatDiv
S12,0.8793141841888428,116,9,False,nlde,WatDiv,WatDiv
S13,1.3941400051116943,162,9,False,crop,WatDiv,WatDiv
S13,1.2420940399169922,162,9,False,nlde,WatDiv,WatDiv
S14,0.9689218997955322,116,9,False,crop,WatDiv,WatDiv
S14,0.8436489105224609,116,9,False,nlde,WatDiv,WatDiv
S15,1.3202311992645264,162,9,False,crop,WatDiv,WatDiv
S15,1.2318179607391357,162,9,False,nlde,WatDiv,WatDiv
S21,2.187088966369629,475,11,False,crop,WatDiv,WatDiv
S21,12.039054870605469,1224,11,False,nlde,WatDiv,WatDiv
S22,4.067424058914185,546,14,False,crop,WatDiv,WatDiv
S22,12.026071071624756,1225,14,False,nlde,WatDiv,WatDiv
S23,2.4369149208068848,292,12,False,crop,WatDiv,WatDiv
S23,11.991961002349854,1224,12,False,nlde,WatDiv,WatDiv
S24,2.28433895111084,335,17,False,crop,WatDiv,WatDiv
S24,12.054413080215454,1224,17,False,nlde,WatDiv,WatDiv
S25,2.132704019546509,475,11,False,crop,WatDiv,WatDiv
S25,11.984436988830566,1224,11,False,nlde,WatDiv,WatDiv
S31,0.46782493591308594,61,0,False,crop,WatDiv,WatDiv
S31,0.40553998947143555,61,0,False,nlde,WatDiv,WatDiv
S32,0.4416968822479248,60,0,False,crop,WatDiv,WatDiv
S32,0.39221906661987305,60,0,False,nlde,WatDiv,WatDiv
S33,1.0717110633850098,198,320,False,crop,WatDiv,WatDiv
S33,1.0222649574279785,198,320,False,nlde,WatDiv,WatDiv
S34,0.4208791255950928,61,0,False,crop,WatDiv,WatDiv
S34,0.42395591735839844,61,0,False,nlde,WatDiv,WatDiv
S35,0.3884000778198242,61,0,False,crop,WatDiv,WatDiv
S35,0.4221360683441162,61,0,False,nlde,WatDiv,WatDiv
S41,0.44922304153442383,56,0,False,crop,WatDiv,WatDiv
S41,0.41521406173706055,56,0,False,nlde,WatDiv,WatDiv
S42,0.9854531288146973,127,4,False,crop,WatDiv,WatDiv
S42,0.5228140354156494,62,4,False,nlde,WatDiv,WatDiv
S43,0.512563943862915,80,1,False,crop,WatDiv,WatDiv
S43,0.48646092414855957,80,1,False,nlde,WatDiv,WatDiv
S44,1.006558895111084,125,1,False,crop,WatDiv,WatDiv
S44,0.5197219848632812,60,1,False,nlde,WatDiv,WatDiv
S45,0.5399069786071777,79,0,False,crop,WatDiv,WatDiv
S45,0.47550392150878906,79,0,False,nlde,WatDiv,WatDiv
S51,1.047978162765503,112,0,False,crop,WatDiv,WatDiv
S51,0.27761292457580566,36,0,False,nlde,WatDiv,WatDiv
S52,1.0590250492095947,126,9,False,crop,WatDiv,WatDiv
S52,0.42520594596862793,101,9,False,nlde,WatDiv,WatDiv
S53,1.0324230194091797,112,0,False,crop,WatDiv,WatDiv
S53,0.32289695739746094,36,0,False,nlde,WatDiv,WatDiv
S54,1.048846960067749,126,9,False,crop,WatDiv,WatDiv
S54,0.4447770118713379,101,9,False,nlde,WatDiv,WatDiv
S55,1.0806851387023926,126,9,False,crop,WatDiv,WatDiv
